"Half","Symbol","Total Revenue","Cost of Revenue","Gross Profit","Operating Expenses","Research Development","Selling General and Administrative","Total Operating Expenses","Operating Income or Loss","Total Other Income/Expenses Net","Earnings Before Interest And Taxes","Interest Expense","Income Before Tax","Net Income From Continuing Ops","Cash And Cash Equivalents","Short Term Investments","Net Receivables","Inventory","Other Current Assets","Total Current Assets","Long Term Investments","Property Plant and Equipment","Goodwill","Intangible Assets","Accumulated Amortization","Other Assets","Total Assets","Accounts Payable","Short/Current Long Term Debt","Total Current Liabilities","Long Term Debt","Deferred Long Term Liability Charges","Total Liabilities","Common Stock","Retained Earnings","Total Stockholder Equity","Net Tangible Assets","Depreciation","Changes In Accounts Receivables","Changes In Liabilities","Changes In Inventories","Changes In Other Operating Activities","Total Cash Flow From Operating Activities","Capital Expenditures","Investments","Other Cash flows from Investing Activities","Total Cash Flows From Investing Activities","Dividends Paid","Sale Purchase of Stock","Net Borrowings","Total Cash Flows From Financing Activities","Effect Of Exchange Rate Changes","Change In Cash and Cash Equivalents","name","isin","treat","cnt","avg","shares","trades","turnover"
"1","KBC","784000","0","784000","975000","0","0","975000","-191000","0","0","0","0","-290000","12501000","0","969000","0","3769000","37391000","61928000","0","0","0","0","0","241306000","148767000","34914000","166395000","25077000","0","226792000","6856000","0","0","0","-3000","0","0","0","1214000","-4287000","-453000","0","0","-370000","0","0","0","2552000","-317000","-2423000","KBC","BE0003565737","0","130","36","1001091.38","5674.17","35830873.97"
"1","KBCA","26000","1000","25000","1000","0","0","1000","25000","0","25000","-7000","0","18000","0","0","0","0","0","0","2442000","0","0","0","0","0","2442000","0","380000","17000","375000","0","392000","2022000","28000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","KBC ANCORA","BE0003867844","0","130","20.72","97042.12","460.19","2020300.27"
"1","KEYW","2000","1000","1000","2000","0","0","2000","0","0","0","0","0","1000","0","0","3000","0","0","4000","0","0","0","0","0","0","24000","2000","4000","6000","2000","0","8000","13000","2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","KEYWARE TECH.","BE0003880979","0","130","0.72","8839.54","6.95","6312.65"
"1","MDXH","2000","2000","0","6000","0","0","6000","-4000","0","-4000","0","0","-4000","25000","0","2000","0","0","28000","0","0","0","0","0","0","29000","3000","0","5000","0","0","5000","79000","-56000","0","0","0","0","0","0","0","-4000","0","0","0","-1000","0","0","0","0","0","-4000","MDXHEALTH","BE0003844611","0","130","2.73","63409.48","64.91","173726.07"
"1","MIKO","36000","21000","16000","34000","0","0","34000","2000","0","2000","0","0","2000","10000","0","27000","21000","1000","59000","0","0","0","0","0","0","118000","12000","26000","28000","12000","0","51000","5000","0","0","0","3000","3000","0","0","0","7000","-3000","0","0","-3000","0","0","0","0","0","4000","MIKO","BE0003731453","0","116","60.66","372.99","4.76","22428.33"
"1","MOBB","357000","246000","111000","329000","0","0","329000","29000","0","29000","-1000","0","15000","14000","0","229000","21000","3000","279000","3000","0","0","0","0","0","1450000","352000","571000","493000","549000","0","1113000","132000","205000","0","0","42000","16000","0","4000","0","66000","-125000","0","0","-109000","0","0","0","44000","0","1000","MOBISTAR","BE0003735496","0","130","12.81","166237.58","733.76","2022745.28"
"1","NYR","697000","382000","315000","607000","0","0","607000","90000","0","90000","-9000","0","-52000","292000","0","181000","516000","15000","1033000","46000","0","0","0","0","0","3220000","436000","962000","997000","839000","3000","2350000","1650000","-506000","0","0","89000","21000","0","13000","19000","102000","-41000","0","0","-41000","0","0","0","36000","-7000","90000","NYRSTAR","BE0003876936","0","130","2.35","801896.82","604.72","1772600.05"
"1","OPTI","2000","1000","1000","4000","0","0","4000","-2000","0","-2000","0","0","-2000","2000","0","1000","3000","0","6000","1000","0","0","0","0","0","12000","6000","9000","10000","8000","4000","18000","5000","-8000","0","0","-1000","1000","0","1000","0","-2000","0","0","0","-1000","0","0","0","0","0","-2000","OPTION","BE0003836534","0","130","0.24","218133.88","35.48","55412.61"
"1","DELB","5338000","4063000","1275000","5163000","0","0","5163000","175000","0","175000","-48000","0","100000","1149000","151000","622000","1353000","319000","3666000","46000","0","0","0","0","0","11596000","1993000","2809000","3142000","2019000","0","6520000","2865000","3677000","0","0","145000","0","0","0","213000","445000","-241000","0","0","-225000","0","0","0","-14000","-12000","194000","DELHAIZE GROUP","BE0003562700","0","130","46.36","447826.28","4265.48","20801754.74"
"1","DEXB","-6000","2000","-8000","116000","0","0","116000","-121000","0","0","0","0","-94000","2637000","550000","193000","0","27190000","55870000","29689000","0","0","0","0","0","222936000","7831000","205165000","117448000","95841000","0","218977000","2400000","-1083000","0","0","3000","0","0","0","186000","91000","-6000","0","0","32000","0","0","0","-20000","-32000","71000","DEXIA","BE0003796134","0","130","0.04","4475363.4","183.73","167240"
