half,symbol,totalrevenue,costofrevenue,grossprofit,operatingexpenses,researchdevelopment,sellinggeneralandadministrative,totaloperatingexpenses,operatingincomeorloss,totalotherincomeexpensesnet,earningsbeforeinterestandtaxes,interestexpense,incomebeforetax,netincomefromcontinuingops,cashandcashequivalents,shortterminvestments,netreceivables,inventory,othercurrentassets,totalcurrentassets,longterminvestments,propertyplantandequipment,goodwill,intangibleassets,accumulatedamortization,otherassets,totalassets,accountspayable,shortcurrentlongtermdebt,totalcurrentliabilities,longtermdebt,deferredlongtermliabilitycharges,totalliabilities,commonstock,retainedearnings,totalstockholderequity,nettangibleassets,depreciation,changesinaccountsreceivables,changesinliabilities,changesininventories,changesinotheroperatingactivitie,totalcashflowfromoperatingactivi,capitalexpenditures,investments,othercashflowsfrominvestingactiv,totalcashflowsfrominvestingactiv,dividendspaid,salepurchaseofstock,netborrowings,totalcashflowsfromfinancingactiv,effectofexchangeratechanges,changeincashandcashequivalents,name,isin,treat,cnt,avg,shares,trades,turnover,n_sym,bookvalue,log_at,totalrevenue2at_0,costofrevenue2at_1,grossprofit2at_2,operatingexpenses2at_3,researchdevelopment2at_4,sellinggeneralandadm2at_5,totaloperatingexpens2at_6,operatingincomeorlos2at_7,operatingincomeorlos2at_8,totalotherincomeexpe2at_9,earningsbeforeintere2at_10,interestexpense2at_11,incomebeforetax2at_12,netincomefromcontinu2at_13,cashandcashequivalen2at_15,shortterminvestments2at_16,netreceivables2at_17,inventory2at_18,othercurrentassets2at_19,totalcurrentassets2at_20,longterminvestments2at_21,propertyplantandequi2at_22,goodwill2at_23,intangibleassets2at_24,accumulatedamortizat2at_25,otherassets2at_26,totalassets2at_27,accountspayable2at_28,shortcurrentlongterm2at_29,totalcurrentliabilit2at_30,longtermdebt2at_31,deferredlongtermliab2at_32,totalliabilities2at_33,commonstock2at_34,retainedearnings2at_35,totalstockholderequi2at_36,nettangibleassets2at_37,depreciation2at_39,changesinaccountsrec2at_40,changesinliabilities2at_41,changesininventories2at_42,changesinotheroperat2at_43,totalcashflowfromope2at_44,capitalexpenditures2at_45,investments2at_46,othercashflowsfromin2at_47,totalcashflowsfromin2at_48,dividendspaid2at_49,salepurchaseofstock2at_50,netborrowings2at_51,totalcashflowsfromfi2at_52,effectofexchangerate2at_53,changeincashandcashe2at_54
2,AGS,3599000,2880000,718000,3469000,0,0,3469000,130000,0,130000,-42000,0,51000,2446000,0,50000,0,4917000,7675000,66569000,0,0,0,0,0,99232000,5649000,4429000,12112000,3234000,0,89378000,4504000,31000,0,0,238000,0,0,0,336000,640000,-20000,0,0,-482000,0,0,0,-658000,6000,-494000,AGEAS,BE0974264930,1,126,31.33,458777.41,2751.26,14360993,AGS,99232000,18.412971,.036268543,.029022897,.0072355689,.034958482,0,0,.034958482,.0013100613,.0013100613,0,.0013100613,-.00042325057,0,.0005139471,.024649307,0,.00050386973,0,.049550548,.077344,.67084205,0,0,0,0,0,1,.0569272,.044632781,.1220574,.032590292,0,.90069735,.045388583,.00031239924,0,0,.0023984199,0,0,0,.0033860046,.0064495322,-.00020154788,0,0,-.004857304,0,0,0,-.0066309255,.000060464365,-.004978233
1,ASC,7000,0,7000,2000,0,0,2000,5000,0,5000,-2000,0,3000,0,0,0,0,4000,4000,0,0,0,0,0,0,485000,0,301000,146000,155000,0,301000,184000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASCENCIO,BE0003856730,0,118,50.799999,527,5.5300002,26730.869,ASC,485000,13.091905,.01443299,0,.01443299,.0041237115,0,0,.0041237115,.010309278,.010309278,0,.010309278,-.0041237115,0,.006185567,0,0,0,0,.008247423,.008247423,0,0,0,0,0,0,1,0,.62061858,.30103093,.31958762,0,.62061858,.37938145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ASC,8000,0,8000,1000,0,0,1000,7000,0,7000,-2000,0,5000,0,0,0,0,4000,4000,0,0,0,0,0,0,487000,0,216000,43000,173000,0,216000,270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASCENCIO,BE0003856730,.039999999,122,52.040001,2518,11.5,130422.23,ASC,487000,13.09602,.016427105,0,.016427105,.0020533882,0,0,.0020533882,.014373717,.014373717,0,.014373717,-.0041067763,0,.01026694,0,0,0,0,.0082135526,.0082135526,0,0,0,0,0,0,1,0,.44353184,.088295691,.35523614,0,.44353184,.55441481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ATEB,16000,9000,8000,13000,0,0,13000,3000,0,3000,-1000,0,1000,2000,37000,33000,261000,1000,334000,11000,0,0,0,0,0,377000,16000,214000,87000,164000,0,272000,45000,12000,0,0,0,-5000,0,-8000,-12000,-23000,0,0,0,-6000,0,0,0,28000,0,-2000,ATENOR GROUP,BE0003837540,0,129,32.790001,1746.72,17.190001,57623.672,ATEB,377000,12.84,.042440318,.023872679,.021220159,.034482758,0,0,.034482758,.00795756,.00795756,0,.00795756,-.0026525198,0,.0026525198,.0053050397,.098143235,.087533154,.69230771,.0026525198,.88594162,.02917772,0,0,0,0,0,1,.042440318,.56763923,.23076923,.43501326,0,.72148544,.1193634,.03183024,0,0,0,-.0132626,0,-.021220159,-.03183024,-.061007958,0,0,0,-.01591512,0,0,0,.074270554,0,-.0053050397
2,ATEB,33000,21000,12000,26000,0,0,26000,7000,0,7000,-1000,0,2000,12000,12000,30000,256000,1000,311000,39000,0,0,0,0,0,383000,27000,228000,90000,176000,0,280000,51000,71000,0,0,0,-14000,0,5000,1000,-3000,-1000,0,0,-6000,0,0,0,1000,0,-7000,ATENOR GROUP,BE0003837540,1,126,37.59,2117.29,28,79906.359,ATEB,383000,12.85579,.086161882,.054830287,.031331591,.067885116,0,0,.067885116,.018276762,.018276762,0,.018276762,-.0026109661,0,.0052219322,.031331591,.031331591,.078328982,.66840732,.0026109661,.81201047,.10182767,0,0,0,0,0,1,.070496082,.59530026,.23498695,.45953003,0,.73107052,.13315926,.1853786,0,0,0,-.036553524,0,.01305483,.0026109661,-.0078328978,-.0026109661,0,0,-.015665796,0,0,0,.0026109661,0,-.018276762
1,BANI,1000,3000,-2000,5000,0,0,5000,-4000,0,-4000,-2000,0,-6000,4000,0,13000,152000,0,169000,40000,0,0,0,0,0,357000,21000,208000,40000,193000,0,241000,132000,0,0,0,0,-1000,0,0,0,0,0,0,0,17000,0,0,0,-16000,0,1000,BANIMMO A,BE0003870871,0,130,8.9399996,2146.9199,10.18,18964.24,BANI,357000,12.785491,.0028011205,.0084033618,-.005602241,.014005602,0,0,.014005602,-.011204482,-.011204482,0,-.011204482,-.005602241,0,-.016806724,.011204482,0,.036414567,.42577031,0,.47338936,.11204482,0,0,0,0,0,1,.05882353,.58263308,.11204482,.54061627,0,.67507005,.36974791,0,0,0,0,-.0028011205,0,0,0,0,0,0,0,.047619049,0,0,0,-.044817928,0,.0028011205
2,BANI,2000,1000,1000,3000,0,0,3000,-1000,0,-1000,-5000,0,-4000,5000,0,14000,155000,0,173000,91000,0,0,0,0,0,359000,14000,229000,27000,216000,0,251000,132000,0,0,0,0,0,0,0,0,-2000,0,0,0,-9000,0,0,0,10000,0,0,BANIMMO A,BE0003870871,1,126,8.4399996,3506.9399,14.11,29571.32,BANI,359000,12.791078,.0055710305,.0027855153,.0027855153,.0083565461,0,0,.0083565461,-.0027855153,-.0027855153,0,-.0027855153,-.013927577,0,-.011142061,.013927577,0,.038997214,.43175489,0,.48189417,.25348189,0,0,0,0,0,1,.038997214,.63788301,.075208917,.60167134,0,.69916433,.36768803,0,0,0,0,0,0,0,0,-.0055710305,0,0,0,-.025069637,0,0,0,.027855154,0,0
2,BAR,249000,167000,82000,242000,0,0,242000,7000,0,7000,-1000,0,6000,92000,0,201000,237000,0,537000,12000,0,0,0,0,0,1007000,120000,56000,383000,42000,94000,436000,565000,0,0,0,6000,10000,0,-12000,-12000,14000,-5000,0,0,-28000,0,0,0,-18000,0,-32000,BARCO,BE0003790079,.02,126,56.18,24608.141,459.62,1370407.8,BAR,1007000,13.822486,.24726911,.16583912,.081429988,.24031778,0,0,.24031778,.0069513405,.0069513405,0,.0069513405,-.00099304866,0,.0059582922,.09136048,0,.19960278,.23535253,0,.53326714,.011916584,0,0,0,0,0,1,.11916584,.055610724,.38033763,.041708045,.093346573,.43296921,.56107247,0,0,0,.0059582922,.0099304868,0,-.011916584,-.011916584,.013902681,-.0049652434,0,0,-.027805362,0,0,0,-.017874876,0,-.031777557
2,BEFB,37000,6000,31000,8000,0,0,8000,29000,0,29000,-6000,0,19000,1000,0,30000,0,4000,36000,19000,0,0,0,0,0,2319000,57000,1048000,434000,698000,0,1133000,972000,39000,0,0,0,0,0,0,-18000,5000,0,0,0,-17000,0,0,0,11000,0,0,BEFIMMO,BE0003678894,.059999999,126,52.209999,25248.75,383.69,1321916.4,BEFB,2319000,14.656647,.015955154,.0025873221,.013367831,.0034497629,0,0,.0034497629,.012505391,.012505391,0,.012505391,-.0025873221,0,.0081931865,.00043122037,0,.012936611,0,.0017248815,.015523933,.0081931865,0,0,0,0,0,1,.02457956,.45191893,.18714963,.3009918,0,.48857266,.41914618,.016817594,0,0,0,0,0,0,-.0077619664,.0021561019,0,0,0,-.0073307459,0,0,0,.0047434238,0,0
1,BEKB,769000,652000,117000,728000,0,0,728000,41000,0,41000,-17000,0,1000,392000,10000,781000,539000,36000,1772000,179000,0,0,0,0,0,3380000,339000,1012000,972000,688000,0,1877000,208000,1308000,0,0,31000,0,0,0,81000,122000,-31000,0,0,-26000,0,0,0,-56000,-3000,37000,BEKAERT,BE0974258874,0,130,26.969999,111228.76,1060.8199,2987151.3,BEKB,3380000,15.033386,.22751479,.19289941,.034615386,.21538462,0,0,.21538462,.012130178,.012130178,0,.012130178,-.0050295857,0,.00029585799,.11597633,.0029585799,.23106509,.15946746,.010650887,.52426034,.052958582,0,0,0,0,0,1,.10029586,.29940829,.28757396,.20355029,0,.55532545,.061538462,.38698226,0,0,.0091715977,0,0,0,.023964496,.036094673,-.0091715977,0,0,-.0076923077,0,0,0,-.016568048,-.00088757399,.010946746
