myscore	sp	random	zscore	investment	size	q	tangibility	cashflow	leverage	sic	at	fyear	gvkey	d_myscore	d_sp	d_random	d_zscore	d_investment	d_size	d_q	d_tangibility	d_cashflow	d_leverage	d_sic	d_at	d_fyear	d_gvkey
0.02809348	0	0.0336231	2.09231888	0.080999935	6.937319906	1.78769913	0.198376514	0.541581583	0.378694881	3823	1030.006	2002	1598	0.02809348	0	0.0336231	2.09231888	0.080999935	6.937319906	1.78769913	0.198376514	0.464004113	0.378694881	3823	1030.006	2002	1598
0.03119573	0	0.177514	2.231931967	0.248369377	8.473399912	2.824903623	0.394739894	0.217314332	0.146643824	3678	4785.759	1998	1608	0.03119573	0	0.177514	2.231931967	0.248369377	8.473399912	2.824903623	0.394739894	0.435271019	0.146643824	3678	4785.759	1998	1608
0.02865292	0	0.1427446	1.356265469	0.07910967	5.023301406	0.915936529	0.327452736	0.228769669	0.008886724	3460	151.912	1994	1613	0.02865292	0	0.1427446	1.356265469	0.07910967	5.023301406	0.915936529	0.327452736	0.296176423	0.008886724	3460	151.912	1994	1613
0.02840153	0	0.4554064	2.666417032	0.109430265	6.185747612	1.363292855	0.161829732	0.395803461	0	3825	485.776	2010	1633	0.02840153	0	0.4554064	2.666417032	0.109430265	6.185747612	1.363292855	0.161829732	0.219201864	0	3825	485.776	2010	1633
0.02706869	0	0.2752248	2.011029769	0.047494838	3.287393917	2.238770403	0.261569492	0.563308336	0.004370074	3663	26.773	2004	30540	0.02706869	0	0.2752248	2.011029769	0.047494838	3.287393917	2.238770403	0.261569492	0.467110859	0.004370074	3663	26.773	2004	30540
0.02700448	0	0.1771762	2.351953247	0.164410222	4.343805422	3.676372208	0.138025974	2.047554578	0	3829	77	2003	12236	0.02700448	0	0.1771762	2.351953247	0.164410222	4.343805422	3.676372208	0.138025974	0.878043852	0	3829	77	2003	12236
0.02735208	0	0.4458072	1.704195755	0.208432923	6.343048805	0.89201709	0.153802722	0.036612122	0.3975185	3949	568.527	2007	140081	0.02735208	0	0.4458072	1.704195755	0.208432923	6.343048805	0.89201709	0.153802722	0.213490513	0.3975185	3949	568.527	2007	140081
0.0270475	0	0.940339	2.090675931	0.098895057	5.666405927	1.360990194	0.191028187	0.326159251	0.431718306	3533	288.994	1992	1706	0.0270475	0	0.940339	2.090675931	0.098895057	5.666405927	1.360990194	0.191028187	1.19591072	0.431718306	3533	288.994	1992	1706
0.02780288	0	0.1391214	2.069177893	0.096126559	4.505206194	0.997603576	0.364649066	0.281284908	0.274647187	2911	90.487	2009	1712	0.02780288	0	0.1391214	2.069177893	0.096126559	4.505206194	0.997603576	0.364649066	-0.119240836	0.274647187	2911	90.487	2009	1712
0.03145975	0	0.2248154	2.382614014	0.157861286	9.185728674	1.312953378	0.385602601	0.333689974	0.213767875	2070	9756.887	1995	1722	0.03145975	0	0.2248154	2.382614014	0.157861286	9.185728674	1.312953378	0.385602601	0.282217944	0.213767875	2070	9756.887	1995	1722
0.03142083	0	0.2394825	2.267570878	0.179931185	8.925923629	1.290804775	0.406682677	0.296050823	0.211674616	2070	7524.53	1992	1722	0.03142083	0	0.2394825	2.267570878	0.179931185	8.925923629	1.290804775	0.406682677	0.261005078	0.211674616	2070	7524.53	1992	1722
