myscore	sp	random	zscore	investment	size	q	tangibility	cashflow	leverage	sic	at	fyear	gvkey	d_myscore	d_sp	d_random	d_zscore	d_investment	d_size	d_q	d_tangibility	d_cashflow	d_leverage	d_sic	d_at	d_fyear	d_gvkey
0.02617376	0	0.4197214	2.37594797	0.384822028	3.512112442	4.183686864	0.091440675	1.46373405	0	3841	33.519	1995	25086	0.02617376	0	0.4197214	2.37594797	0.384822028	3.512112442	4.183686864	0.091440675	0.263621533	0	3841	33.519	1995	25086
0.02645893	0	0.3951168	2.078594434	0.47107438	4.045329373	3.123092071	0.082058463	1.420515314	0	3841	57.13	1993	24867	0.02645893	0	0.3951168	2.078594434	0.47107438	4.045329373	3.123092071	0.082058463	0.263621533	0	3841	57.13	1993	24867
0.02656305	0	0.4057336	1.728350253	0.611182245	3.508346297	2.896955949	0.176683736	0.878361076	0.048902465	3841	33.393	2006	24449	0.02656305	0	0.4057336	1.728350253	0.611182245	3.508346297	2.896955949	0.176683736	0.263621533	0.048902465	3841	33.393	2006	24449
0.0268669	0	0.084217	3.078126544	0.74890044	3.840419587	4.696315394	0.170802449	1.684126349	0.005843807	3841	46.545	1995	9074	0.0268669	0	0.084217	3.078126544	0.74890044	3.840419587	4.696315394	0.170802449	0.263621533	0.005843807	3841	46.545	1995	9074
0.03022669	0	0.4831504	2.62083822	0.17812581	5.517276174	1.280367937	0.610858947	0.259801181	0.249931715	3714	248.956	1996	9742	0.03022669	0	0.4831504	2.62083822	0.17812581	5.517276174	1.280367937	0.610858947	0.253441751	0.249931715	3714	248.956	1996	9742
0.03036869	0	0.3207008	2.659611854	0.332517326	5.332641496	1.282800845	0.652383759	0.270330483	0.253642794	3714	206.984	1994	9742	0.03036869	0	0.3207008	2.659611854	0.332517326	5.332641496	1.282800845	0.652383759	0.253441751	0.253642794	3714	206.984	1994	9742
0.03052449	0	0.4650406	1.707594903	0.083567066	5.698294108	1.013095845	0.659332078	0.105951625	0.305002715	3714	298.358	1999	8046	0.03052449	0	0.4650406	1.707594903	0.083567066	5.698294108	1.013095845	0.659332078	0.253441751	0.305002715	3714	298.358	1999	8046
0.03029272	0	0.0526776	1.763119593	0.219955392	5.080857632	1.162408646	0.662026449	0.18893035	0.237912648	3714	160.912	1996	28339	0.03029272	0	0.0526776	1.763119593	0.219955392	5.080857632	1.162408646	0.662026449	0.253441751	0.237912648	3714	160.912	1996	28339
0.03283731	0	0.0353258	2.201252862	0.212897498	8.57241974	1.714572191	0.640871326	0.221118748	0.215446924	2621	5283.9	1990	6435	0.03283731	0	0.0353258	2.201252862	0.212897498	8.57241974	1.714572191	0.640871326	0.122724312	0.215446924	2621	5283.9	1990	6435
0.03223339	0	0.0909197	1.025286968	0.065590313	7.993619995	1.025086462	0.659689399	0.085267407	0.306887238	2621	2962	1997	4034	0.03223339	0	0.0909197	1.025286968	0.065590313	7.993619995	1.025086462	0.659689399	0.122724312	0.306887238	2621	2962	1997	4034
