myscore	sp	random	zscore	investment	q	size	tangibility	cashflow	leverage	sic	at	d_myscore	d_sp	d_random	d_zscore	d_investment	d_q	d_size	d_tangibility	d_cashflow	d_leverage	d_sic	d_at
0.02658851	1	0.0124295	1.076500032	0.0818517	1.318409985	4.350471466	0.146578082	0.404776675	0.174250145	3564	77.515	0.00003302000000000166	-1	0.7228495	2.1421566509999996	0.023297183	0.4541553090000001	-1.2517765490000001	0.12785919499999998	1.408299821	-0.016372026999999983	0	-55.346000000000004
0.02658851	1	0.0124295	1.076500032	0.0818517	1.318409985	4.350471466	0.146578082	0.439349112	0.174250145	3564	77.515	-0.00005057999999999799	-1	0.09497560000000001	2.192127749	0.014795243	0.21009731099999995	-1.1816686280000002	0.096956129	1.442872258	-0.039677622999999995	0	-53.736000000000004
0.02658851	1	0.0124295	1.076500032	0.0818517	1.318409985	4.350471466	0.146578082	-1.642292171	0.174250145	3564	77.515	-0.00005413999999999766	-1	0.029059900000000003	-0.083613995	0.154145072	0.20780875899999995	-0.37737217600000017	-0.016622674000000004	-0.638769025	-0.11120098099999999	0	-24.366
0.02658851	1	0.0124295	1.076500032	0.0818517	1.318409985	4.350471466	0.146578082	-0.313436357	0.174250145	3564	77.515	-0.00006658999999999832	-1	0.7050128	0.7155047560000001	0.08306513400000001	-0.3968815069999999	-0.8927677350000001	0.141444852	0.690086789	0.13768281899999998	0	-45.771
0.0282534	1	0.0233338	1.590608298	0.158048639	2.131951446	6.312444176	0.134880693	0.595225396	0.018634689	3825	551.391	0.0000030699999999973804	-1	0.5217433	1.5399710819999999	0.0026942209999999966	-0.736097588	-0.6917245209999994	0.07501977400000001	-0.01739764999999993	0.007726471000000002	0	-275.30299999999994
0.0282534	1	0.0233338	1.590608298	0.158048639	2.131951446	6.312444176	0.134880693	0.438533237	0.018634689	3825	551.391	0.00002274000000000026	-1	0.2020559	1.3696757350000002	0.03127969800000002	-0.19511752299999996	-0.5036982649999997	0.055766994000000014	-0.17408980899999993	0.0015213129999999998	0	-218.18999999999994
0.0282534	1	0.0233338	1.590608298	0.158048639	2.131951446	6.312444176	0.134880693	0.628509058	0.018634689	3825	551.391	-0.00003447999999999993	-1	0.6281756000000001	0.23152467799999998	0.09326306900000003	0.06518507500000004	-0.575059306	0.065398435	0.01588601200000006	0.024340054000000003	0	-241.13899999999995
0.0282534	1	0.0233338	1.590608298	0.158048639	2.131951446	6.312444176	0.134880693	0.269931663	0.018634689	3825	551.391	0.00004081999999999697	-1	0.4373813	0.5189199669999998	0.307674324	-1.3733817130000001	-2.5324223059999995	0.292921302	-0.34269138299999996	0.048553845	0	-507.57399999999996
0.02561856	1	0.016217	3.239511271	0.318306011	0.934508901	2.69280119	0.093481351	1.080108992	0.019359643	3842	14.773	0.000005900000000003125	-1	0.3574523	-1.379388416	0.11820625099999998	2.973445029	0.6277282890000002	-0.007699960000000006	-0.148033085	0.130631324	0	12.902000000000001
0.02561856	1	0.016217	3.239511271	0.318306011	0.934508901	2.69280119	0.093481351	0.180261379	0.019359643	3842	14.773	-0.00001921999999999688	-1	0.46100470000000005	-1.085556769	-0.159675997	1.130641578	0.28969385700000005	0.14399141599999998	-1.047880698	0.41206357200000004	0	4.963999999999999
