myscore	sp	random	zscore	investment	size	q	tangibility	cashflow	leverage	sic	at	fyear	gvkey	d_myscore	d_sp	d_random	d_zscore	d_investment	d_size	d_q	d_tangibility	d_cashflow	d_leverage	d_sic	d_at	d_fyear	d_gvkey
0.02658851	1	0.0124295	1.076500032	0.0818517	4.350471466	1.318409985	0.146578082	0.404776675	0.174250145	3564	77.515	2009	1050	0.00003302000000000166	-1	0.7228495	2.1421566509999996	0.023297183	-1.2517765490000001	0.4541553090000001	0.12785919499999998	1.408299821	-0.016372026999999983	0	-55.346000000000004	-16	9691
0.0282534	1	0.0233338	1.590608298	0.158048639	6.312444176	2.131951446	0.134880693	0.595225396	0.018634689	3825	551.391	2004	1056	0.0000030699999999973804	-1	0.5217433	1.5399710819999999	0.0026942209999999966	-0.6917245209999994	-0.736097588	0.07501977400000001	-0.01739764999999993	0.007726471000000002	0	-275.30299999999994	-9	3761
0.02561856	1	0.016217	3.239511271	0.318306011	2.69280119	0.934508901	0.093481351	1.080108992	0.019359643	3842	14.773	1992	1151	0.000005900000000003125	-1	0.3574523	-1.379388416	0.11820625099999998	0.6277282890000002	2.973445029	-0.007699960000000006	-0.148033085	0.130631324	0	12.902000000000001	5	27734
0.03134656	1	0.0107255	1.059878815	0.507309234	7.013638458	0.764851011	0.582011025	0.374953218	0.173023643	3674	1111.692	1990	1161	0.000008029999999999149	-1	0.5734779	0.05335625399999988	0.22961859499999993	0.23901063899999997	0.260455568	0.08073829499999996	0.22724245599999998	0.24454704500000002	0	300.1479999999999	16	142954
0.03183555	1	0.0050036	1.122414292	0.271450159	8.384278294	1.516702842	0.576384209	0.378832031	0.336914059	3674	4377.698	1999	1161	0.000005370000000004538	-1	0.0543279	0.2397148870000001	-0.041300503000000016	0.0707537079999998	0.10797509900000013	-0.03963594199999998	0.19078265100000003	-0.076311295	0	320.95899999999983	8	212251
0.02604927	1	0.0218825	2.311969425	0.160878809	2.848912987	3.683856622	0.244252707	0.290422001	0.241241531	3812	17.269	2002	1173	0.0000023000000000002185	-1	0.7096555	0.12433818600000013	-0.06533589800000002	0.09473620699999996	-1.5649285210000001	-0.035983020000000004	-0.09795503700000002	-0.061310006	0	1.716000000000001	1	0
0.02771146	1	0.0270897	4.100072487	0.276890602	3.755743394	1.620627368	0.309544966	1.36306627	0	3841	42.766	1992	1234	7.700000000006313e-7	-1	0.9347333	-3.1973762000000003	0.278132279	2.9314013730000004	0.09736811599999995	-0.182161792	0.885092702	0.286772673	0	759.263	18	263151
0.03381708	1	0.004578	1.724330562	0.179337472	10.2909584	1.142248583	0.564296623	0.200561463	0.151603598	2911	29465	2009	1380	0.00002487999999999796	-1	0.1907158	-0.426462036	-0.041484961999999986	-0.7962473069999998	-0.20112571700000004	0.09556835799999996	0.0023560669999999895	0.01891905399999999	0	-16175.745	-8	27140
0.02947331	1	0.0163813	1.954482053	0.180365491	8.659404306	1.420476744	0.209069933	0.66745283	0.339654066	2085	5764.1	2000	1408	-0.000002849999999998687	-1	0.7585168999999999	0.8354981060000002	-0.012912660999999992	-1.0505336770000007	1.5658921850000003	0.0076959399999999845	0.583304934	-0.23697549499999998	0	-3748.1000000000004	1	1027
0.02812478	1	0.0159536	3.15812371	0.238723959	5.830388694	1.702691114	0.240620163	0.704388317	0.196789342	2670	340.491	1996	1411	-0.000020279999999997522	-1	0.0671047	-0.11131316899999977	0.16572550299999997	-1.413912325	-0.19901979400000003	0.08304777600000002	0.27439303600000003	-0.146212075	0	-257.687	-2	-14
0.02962938	1	0.0033398	2.614232505	0.262803443	7.355790613	1.607182137	0.274030592	0.506455719	0.118987321	2771	1565.234	1993	1468	-0.00002749000000000154	-1	0.221353	-0.08202080199999973	-0.04401541200000003	0.11827286699999995	-0.05864590799999991	-0.019269845000000008	-0.002688860000000015	-0.006663274999999996	0	196.51700000000005	1	0
0.02927404	1	0.0002375	2.242984308	0.19946527	7.603814216	1.381400586	0.219494953	0.447943065	0.174614325	2771	2005.832	1995	1468	0.000001769999999998162	-1	0.1678628	0.29288265099999977	0.007016308999999998	-0.25883679699999984	0.07121824599999993	0.03079696100000001	0.023603956999999953	0.008392004000000008	0	-457.432	-3	0
0.02907134	1	0.018459	2.405726921	0.130526861	7.791245095	1.099315776	0.179721807	0.354965203	0.198825046	2771	2419.328	1998	1468	-0.00004607000000000222	-1	0.1610706	-0.37183129899999967	-0.01722805599999999	0.039968368000000254	-0.17256408600000006	-0.002033951000000006	-0.19743274899999996	0.02031702099999999	0	98.6550000000002	1	0
0.02737093	1	0.0037883	1.63123731	0.134446569	5.008820315	1.178573814	0.283754542	0.388269804	0.366184014	3420	149.728	1991	1475	0.00004775999999999739	-1	0.6242388	0.12616564400000008	0.09029205000000001	0.5288327989999999	0.5020713350000001	0.0033310719999999905	-0.57872329	0.12032225800000002	0	104.35299999999998	6	26914
0.02974324	1	0.0234963	0.842070214	0.190483082	6.661355895	1.183284119	0.489833805	-0.002076483	0.40891877	2621	781.61	2010	1491	-0.0001034100000000017	-1	0.8906117	0.047328692000000006	-0.164954101	-0.11526943699999936	-0.23151150300000012	0.008580438999999995	-0.180985662	0.027353057999999986	0	-85.09699999999998	1	0
0.02505229	1	0.0193926	3.958153693	0.109965636	2.304583096	1.538622754	0.133932136	0.676369863	0.242115769	2540	10.02	1996	1496	0.00014836000000000016	-1	0.5012569	-1.657826816	0.31469189799999997	-0.19315850799999978	-0.5738527779999999	0.02890079399999998	-0.335657628	-0.042357900000000004	0	-1.7599999999999998	-6	0
