myscore	sp	random	zscore	investment	size	q	tangibility	cashflow	leverage	sic	at	fyear	gvkey	d_myscore	d_sp	d_random	d_zscore	d_investment	d_size	d_q	d_tangibility	d_cashflow	d_leverage	d_sic	d_at	d_fyear	d_gvkey
0.02772142	1	0.0118424	1.494804917	0.130983182	6.008577285	2.833870864	0.076708511	0.272126331	0	3823	406.904	2001	16188	-0.0002570999999999997	-1	0.1549274	0.603425893	0.036570986	-0.05157996700000034	-0.6056932050000001	-0.028567492999999992	0.272508549	0.01591676	0	-20.456000000000017	2	-8019
0.02772142	1	0.0118424	1.494804917	0.130983182	6.008577285	2.833870864	0.076708511	1.414553558	0	3823	406.904	2001	16188	0.000019289999999998197	-1	0.29302110000000003	0.595014487	0.04709427299999999	0.2821507599999995	-1.0979242530000002	-0.02725952999999999	1.4149357759999999	0	0	132.64200000000005	6	0
0.02772142	1	0.0118424	1.494804917	0.130983182	6.008577285	2.833870864	0.076708511	1.849218587	0	3823	406.904	2001	16188	0.000006499999999999562	-1	0.1390023	0.46242139300000007	0.02817497599999999	0.3274729239999994	-0.21694590300000005	-0.03388770499999999	1.849600805	0	0	157.65800000000002	4	0
0.02896617	1	0.0118581	2.306022536	0.175340846	7.652801121	1.427951899	0.177889504	-0.194007493	0.19715144	3585	2106.538	1998	13135	-0.00013374000000000025	-1	0.3882599	-0.6680998979999999	0.06608697599999999	-0.08908041500000063	0.2983664960000001	-0.005555484999999999	-0.721017438	0.010608593999999999	0	-179.53600000000006	-3	0
0.02896617	1	0.0118581	2.306022536	0.175340846	7.652801121	1.427951899	0.177889504	0.592389848	0.19715144	3585	2106.538	1998	13135	-0.00029515000000000097	-1	0.4749352	-0.20873749499999983	0.21523929400000003	-0.2825830740000006	0.11206867700000012	-0.005106471000000001	0.06537990300000007	0.022157996999999985	0	-518.558	-4	0
0.02896617	1	0.0118581	2.306022536	0.175340846	7.652801121	1.427951899	0.177889504	0.292405723	0.19715144	3585	2106.538	1998	13135	0.00032253999999999963	-1	0.11480900000000001	-0.3939509779999999	-0.02812711399999998	0.3570321009999988	-0.24063309399999988	0.007011580999999989	-0.23460422199999997	-0.009467350000000013	0	903.877	6	0
0.02896617	1	0.0118581	2.306022536	0.175340846	7.652801121	1.427951899	0.177889504	0.614391739	0.19715144	3585	2106.538	1998	13135	-0.00024845999999999896	-1	0.2020214	0.6746205280000002	-0.013675792999999992	-0.2191936840000004	0.837747705	-0.001637951999999998	0.08738179400000001	0.03134906199999998	0	-414.6379999999999	14	109245
0.02727227	1	0.0118615	0.489911351	0.261065771	4.72464956	1.635390936	0.179082624	-0.141767009	0.085871986	2835	112.691	2004	7526	-0.000024610000000001298	-1	0.29978669999999996	-0.26160431	-0.10463150100000002	0.010214665000000345	1.7907235320000001	-0.0073009500000000005	-0.515794854	-0.006055036999999999	0	1.1569999999999965	1	0
0.02727227	1	0.0118615	0.489911351	0.261065771	4.72464956	1.635390936	0.179082624	-1.343694706	0.085871986	2835	112.691	2004	7526	0.000036689999999998946	-1	0.43268039999999997	-0.696057593	-0.134672963	0.15753095700000053	-0.17976759400000009	-0.018111414999999992	-1.717722551	-0.018716631999999997	0	19.227000000000004	4	5389
0.02727227	1	0.0118615	0.489911351	0.261065771	4.72464956	1.635390936	0.179082624	-0.678380493	0.085871986	2835	112.691	2004	7526	0.000022889999999997634	-1	0.2143587	-0.01523348699999999	0.30882600099999996	0.2053033770000008	5.197934568	-0.027911514	-1.052408338	-0.023208026999999992	0	25.681999999999988	-12	12966
0.02727227	1	0.0118615	0.489911351	0.261065771	4.72464956	1.635390936	0.179082624	-0.024233037	0.085871986	2835	112.691	2004	7526	-0.000009260000000000518	-1	0.47717509999999996	-0.7960123960000001	-0.155839429	0.0836247220000006	0.6946490570000001	-0.019018961	-0.39826088200000004	-0.02227420599999999	0	9.828999999999994	6	5389
0.02747691	1	0.0118888	-11.64838239	0.375076111	2.455563658	4.487059126	0.433622243	-0.583069262	0.019737407	3674	11.653	2005	6185	-0.000018310000000000548	-1	0.3643446	-1.7117705900000004	0.024652273000000002	-0.035817944999999796	-0.9026421550000001	0.004605988000000005	-0.6066130009999999	0.0047222570000000005	0	-0.41000000000000014	-1	0
0.02747691	1	0.0118888	-11.64838239	0.375076111	2.455563658	4.487059126	0.433622243	-0.846292621	0.019737407	3674	11.653	2005	6185	0.000048539999999999695	-1	0.423229	-2.2780726399999995	-0.24193521299999998	-0.11423873699999998	-2.99085903	0.043434033999999955	-0.86983636	0.05029626300000001	0	-1.258000000000001	-3	0
0.02747691	1	0.0118888	-11.64838239	0.375076111	2.455563658	4.487059126	0.433622243	-1.57495411	0.019737407	3674	11.653	2005	6185	0.00046571999999999933	-1	0.1523855	0.8615130400000002	-0.04690968200000001	-0.2388633040000001	-0.7672003490000003	0.09868679099999994	-1.598497849	0.0042355690000000015	0	-2.476000000000001	3	57984
0.02747691	1	0.0118888	-11.64838239	0.375076111	2.455563658	4.487059126	0.433622243	-2.87317274	0.019737407	3674	11.653	2005	6185	0.00025833000000000106	-1	0.25130220000000003	-3.8755540699999997	0.324120924	-0.04484190599999982	-3.546105976	0.063864743	-2.8967164789999997	0.034830893	0	-0.511000000000001	-4	0
0.02895264	1	0.0118946	1.536578245	0.153716847	7.940405812	1.686452085	0.213779598	0.726208399	0.354459676	2890	2808.5	2006	5589	-0.00041562000000000196	-1	0.25837530000000003	0.6036330540000001	0.21776489999999998	-0.6990158900000001	0.7090002430000002	-0.019700374999999992	0.22434063699999995	-0.06950795900000001	0	-1412.467	-9	4183
0.02895264	1	0.0118946	1.536578245	0.153716847	7.940405812	1.686452085	0.213779598	0.5990495	0.354459676	2890	2808.5	2006	5589	0.00004676999999999806	-1	0.0828038	0.8094323959999998	0.113767654	-0.02621640100000011	-0.07995480500000007	-0.03522414799999998	0.09718173799999996	-0.10315184500000002	0	-72.67200000000003	-5	4183
0.02895264	1	0.0118946	1.536578245	0.153716847	7.940405812	1.686452085	0.213779598	0.724873395	0.354459676	2890	2808.5	2006	5589	-0.0006104200000000004	-1	0.3477677	0.37803888099999994	0.30852815100000003	-0.960718784	0.6182527910000002	-0.022774164999999985	0.22300563299999998	-0.07209313699999997	0	-1733.918	-10	4183
