Tic	Treatment	Cutoff
SIOE	0.345748987854251	BR10
BIL	0.8209412209412209	BR10
MARC	0.9384615384615385	BR10
IBAB	0.6125588697017268	BR10
THR	0.9352226720647774	BR10
LOUV	0.1076923076923077	BR50
TUB	0.7940411632719324	BR50
AED	0.6991411900065747	BR50
IMMOU	0.40116503991797103	BR50
DELB	0.8430447169577604	BR50
LUXA	0.03125	BR100
WEHB	0.12558872793380943	BR100
RES	0.977560913381809	BR100
