tics	cnt	avgprice	relTics	absTics
OPTI	65	0.45115384615384635	0.006569934588047265	0.002800000000000001
AGFB	65	2.4077692307692313	0.0011357533124838155	0.002800000000000001
ZEN	65	114.5398461538461	0.00036806426121515143	0.04199999999999997
VASTB	65	55.22738461538461	0.00018111085243904227	0.010000000000000005
FP	64	38.28999999999998	0.0001571069469835467	0.006015625000000003
PCBB	65	6.080461538461537	0.00044847901564166196	0.002800000000000001
SMAR	65	0.4693076923076922	0.005882550468345938	0.002800000000000001
FLUX	65	29.307615384615378	0.0002045270693101211	0.006000000000000003
MOP	65	321.0995384615385	0.00013144185277137594	0.04199999999999997
WOLE	65	628.1786153846156	0.0000668588941344298	0.04199999999999997
SGO	64	36	0.0001671006944444443	0.006015625000000003
SAIG	65	127.43276923076922	0.00032962181760203707	0.04199999999999997
AGS	65	30.657615384615394	0.00019528362846837994	0.006000000000000003
JEN	65	14.202461538461534	0.00042252254582285587	0.006000000000000003
KIN	65	99.79323076923077	0.00027563360860250943	0.029538461538461555
LOUV	65	50.11723076923076	0.0001296806197293731	0.0065384615384615425
WESL	65	6.969538461538471	0.0003960389788836979	0.002800000000000001
LEAS	65	81.16907692307691	0.00012325519035625483	0.010000000000000005
SAB	65	38.03707692307692	0.00015786737077538588	0.006000000000000003
IEP	65	5.920461538461541	0.0004537288097762601	0.002800000000000001
ECONB	65	7.53146153846154	0.00036833554399280107	0.002800000000000001
MOUR	65	113.36684615384614	0.0003710455981990082	0.04199999999999997
KOR	65	528.7676923076925	0.00007943442109520935	0.04199999999999997
ACCB	65	0.010000000000000005	0.2799999999999998	0.002800000000000001
DEXB	65	0.04007692307692309	0.06791819291819287	0.002800000000000001
MONT	65	32.115923076923075	0.00018694808152959204	0.006000000000000003
TEXF	65	37.98399999999998	0.00015872823167727604	0.006000000000000003
REC	65	7.105923076923076	0.00040121946230771936	0.002800000000000001
AUDB	65	77.71276923076924	0.00012872469660948275	0.010000000000000005
MELE	65	29.575999999999997	0.00020368547368122784	0.006000000000000003
SOF	65	86.577	0.00011551973972978103	0.010000000000000005
ABI	65	80.1503846153846	0.00012486955005138581	0.010000000000000005
TUB	65	51.30099999999999	0.00017626167405754582	0.009076923076923081
INGA	64	7.9800000000000075	0.0003544016290726819	0.0028281250000000008
DIE	65	31.996076923076927	0.00018745282699990346	0.006000000000000003
RHJI	65	3.5676153846153844	0.0007817628691329853	0.002800000000000001
EURN	65	8.772846153846153	0.000319796169472526	0.002800000000000001
AED	65	50.446846153846145	0.0001719071599092277	0.008692307692307697
ROU	65	12.993615384615385	0.0004624342779336444	0.006000000000000003
TUBAT	65	0.6336923076923072	0.004943153300600113	0.002800000000000001
GLPG	64	15.990000000000007	0.0003762116948092554	0.006015625000000003
EZBG	65	1.9901538461538468	0.0013870343412118059	0.002800000000000001
FLOB	65	74.66792307692307	0.00013461174296050733	0.010000000000000005
MIKO	65	66.35938461538461	0.0001507014353368214	0.010000000000000005
MAC	65	322.17507692307726	0.00013008865699078238	0.04199999999999997
UNITB	65	0.9735384615384621	0.002908577780855007	0.002800000000000001
SPA	65	71.20292307692308	0.00014045664751293513	0.010000000000000005
MOPF	65	8980.62215384616	0.000004676414716410275	0.04199999999999997
RCUS	65	39.42230769230769	0.00015178187466451036	0.006000000000000003
LOTB	65	849.6503076923075	0.0000495374237605337	0.04199999999999997
ZTS	65	21.60853846153846	0.00027733594776231126	0.006000000000000003
KEYW	65	0.7029230769230769	0.003961870930924073	0.002800000000000001
GBLB	65	75.10284615384614	0.00013319008595353258	0.010000000000000005
SIOE	65	9.438307692307694	0.0003968126942767445	0.003846153846153847
DISL	65	274.41692307692307	0.00015388118678423364	0.04199999999999997
EVS	65	41.94638461538461	0.00014379082241243219	0.006000000000000003
BANI	65	8.184615384615384	0.0003417972773268639	0.002800000000000001
CFEB	65	78.6613846153846	0.00012718781318324962	0.010000000000000005
VGP	65	18.148384615384604	0.0003308266157038901	0.006000000000000003
COFB	65	88.91292307692306	0.00011251340967191094	0.010000000000000005
MDXH	65	4.237307692307692	0.0006500962802707583	0.002800000000000001
SOLV	65	124.77038461538463	0.00033650415059949897	0.04199999999999997
ELI	65	37.991153846153864	0.00015807715048466323	0.006000000000000003
SCHD	65	402.62076923076927	0.00010510825360407474	0.04199999999999997
BELR	65	95.27692307692308	0.00010495951417004043	0.010000000000000005
QRF	65	24.45546153846153	0.00024529422145754	0.006000000000000003
NYR	65	2.0080769230769238	0.0013833336911762304	0.002800000000000001
ABO	65	0	Infinity	0.002800000000000001
MEDV	65	0.02938461538461541	0.09538461538461532	0.002800000000000001
BIL	65	10.452999999999996	0.0005251879005504217	0.005507692307692311
CARD	65	38.63453846153846	0.0001565198411090743	0.006000000000000003
SAP	65	45.398076923076914	0.00013186773505149702	0.006000000000000003
TNET	65	42.799384615384625	0.00013984566030731513	0.006000000000000003
COLR	65	40.4843076923077	0.0001482899565889901	0.006000000000000003
WDP	65	54.67407692307692	0.00018292635495202717	0.010000000000000005
TESB	65	21.899230769230766	0.0002741826782249672	0.006000000000000003
MACK	65	394.7838461538463	0.0001176246127563562	0.04199999999999997
MARC	65	17.42123076923076	0.0003662419975587676	0.006000000000000003
KBCA	65	25.78223076923077	0.00023211036540402282	0.006000000000000003
UCB	65	58.64246153846157	0.00017064422624987136	0.010000000000000005
HAMO	65	15.055846153846161	0.0003984039508486923	0.006000000000000003
BELU	65	2.115153846153846	0.0013413806440418848	0.002800000000000001
MOBB	65	14.234846153846151	0.00042261362356435257	0.006000000000000003
BEAB	65	132.53984615384616	0.00031701820948349464	0.04199999999999997
LUXA	64	95.00609375000003	0.00019235783249208903	0.01875000000000001
BPOST	65	17.515	0.0003446371957758513	0.006000000000000003
FOY	65	84.14899999999999	0.00011914854601585195	0.010000000000000005
SUCR	65	0.4883076923076918	0.005858910137481568	0.002800000000000001
QFG	61	7.497786885245901	0.00036565707591757894	0.0027704918032786896
TIG	65	0.6860769230769231	0.003987812451499165	0.002800000000000001
CAMB	65	12.972153846153844	0.00046244910884535377	0.006000000000000003
VAN	65	38.75753846153845	0.0001547546793131691	0.006000000000000003
WEHB	65	93.98776923076925	0.00013713721252856854	0.013076923076923083
ENINV	65	1.404692307692308	0.01294834788451063	0.002800000000000001
IMMOU	65	49.92253846153847	0.00015222653498343065	0.007615384615384619
RTL	65	81.89092307692309	0.00012227136580126246	0.010000000000000005
INTO	65	22.254538461538466	0.00027038306455354726	0.006000000000000003
THI	65	0.3169230769230768	0.008574441687344917	0.002800000000000001
ZENT	65	0.9760769230769234	0.0028425769874928747	0.002800000000000001
BAS	65	431.75523076923076	0.00009751942395031418	0.04199999999999997
UMI	65	35.48400000000001	0.0001693653465343628	0.006000000000000003
BEFB	65	53.671307692307685	0.0001864509552378136	0.010000000000000005
NEU	65	8.60000000000001	0.00032558139534883735	0.002800000000000001
ABLX	65	8.974461538461536	0.0003086717398765282	0.002800000000000001
BELG	65	23.36853846153846	0.0002575753686267068	0.006000000000000003
GRYFO	65	12.28892307692308	0.00048782716006481744	0.006000000000000003
VIO	65	4.336615384615384	0.000632282835155261	0.002800000000000001
WOLS	65	1645.413692307692	0.000025498728909064867	0.04199999999999997
ENGB	65	193.36507692307688	0.00021716831339741122	0.04199999999999997
