COMP,Total Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Research Development,Selling General and Administrative,Total Operating Expenses,Operating Income or Loss,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest And Taxes,Interest Expense,Income Before Tax,Net Income From Continuing Ops,Net Income,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Total Assets,Accounts Payable,Short/Current Long Term Debt,Total Current Liabilities,Long Term Debt,Deferred Long Term Liability Charges,Total Liabilities,Common Stock,Retained Earnings,Total Stockholder Equity,Net Tangible Assets,Net Income,Depreciation,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
HOMI,5000,2000,3000,2000,0,0,2000,3000,3000,0,3000,-1000,0,8000,0,4000,0,4000,0,10000,17000,0,0,0,0,0,0,325000,1000,123000,51000,75000,0,130000,93000,37000,0,0,0,0,1000,0,0,0,4000,0,0,0,-7000,0,0,0,2000,0,-1000
ECONB,490000,417000,73000,459000,0,0,459000,32000,32000,0,32000,-1000,0,16000,0,150000,0,720000,20000,28000,952000,18000,0,0,0,0,0,1471000,495000,189000,1028000,88000,0,1211000,195000,44000,0,0,0,2000,0,0,0,39000,62000,-3000,0,0,-12000,0,0,0,-8000,0,41000
MOUR,21000,17000,4000,20000,0,0,20000,1000,1000,0,1000,0,0,0,0,34000,0,23000,1000,0,62000,0,0,0,0,0,0,79000,20000,0,29000,0,0,37000,24000,0,0,0,0,0,0,0,0,1000,2000,0,0,0,0,0,0,0,-1000,0,1000
DEXB,-6000,2000,-8000,116000,0,0,116000,-121000,-121000,0,0,0,0,-94000,0,2637000,550000,193000,0,27190000,55870000,29689000,0,0,0,0,0,222936000,7831000,205165000,117448000,95841000,0,218977000,2400000,-1083000,0,0,0,3000,0,0,0,186000,91000,-6000,0,0,32000,0,0,0,-20000,-32000,71000
MONT,6000,0,6000,1000,0,0,1000,5000,5000,0,5000,-2000,0,2000,0,0,0,0,0,15000,15000,0,0,0,0,0,0,321000,0,177000,16000,177000,0,193000,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEXF,5000,1000,4000,3000,0,0,3000,2000,2000,0,2000,0,0,2000,0,7000,0,3000,5000,0,15000,0,0,0,0,0,0,108000,2000,5000,10000,2000,0,41000,8000,0,0,0,0,1000,0,0,0,0,2000,-2000,0,0,-1000,0,0,0,0,0,1000
REC,172000,136000,36000,171000,0,0,171000,1000,1000,0,1000,-2000,0,-13000,0,26000,0,103000,94000,4000,235000,73000,0,0,0,0,0,612000,82000,165000,265000,81000,1000,426000,179000,34000,0,0,0,5000,7000,0,1000,8000,-6000,-2000,0,0,2000,0,0,0,-1000,0,-4000
SOF,38000,5000,34000,5000,0,0,5000,33000,33000,0,33000,-1000,0,38000,0,336000,0,8000,0,0,580000,3671000,0,0,0,0,0,4304000,1000,177000,9000,177000,0,194000,84000,0,0,0,0,0,0,0,0,0,16000,0,0,0,-13000,0,0,0,-7000,0,-3000
ABI,11729000,4757000,6972000,7861000,0,0,7861000,3868000,3868000,0,3868000,-430000,0,2796000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUB,0,0,0,0,0,0,0,0,0,0,0,-2000,0,17000,0,0,0,0,0,0,1000,1804000,0,0,0,0,0,1805000,0,232000,58000,175000,0,253000,236000,1401000,0,0,0,0,0,0,0,-3000,-3000,0,0,0,0,0,0,0,-12000,0,-15000
INGA,5393000,1630000,3763000,4222000,0,0,4222000,1171000,1171000,0,0,0,0,848000,0,21783000,0,595249000,0,205217000,979331000,134004000,0,0,0,0,0,1131175000,478041000,202617000,769659000,191065000,706000,1075425000,19206000,0,0,0,0,195000,0,0,0,-5645000,-2135000,0,0,0,7323000,0,0,0,498000,386000,6072000
DIE,1246000,853000,394000,1205000,0,0,1205000,41000,41000,0,41000,-13000,0,18000,0,200000,288000,394000,539000,2000,1431000,70000,0,0,0,0,0,3555000,194000,1038000,923000,686000,0,1830000,184000,1640000,0,0,0,17000,0,0,0,22000,64000,-34000,0,0,-130000,0,0,0,100000,-1000,34000
RHJI,43000,2000,41000,41000,0,0,41000,2000,2000,0,2000,-15000,0,-9000,0,202000,0,886000,0,1000,2456000,113000,0,0,0,0,0,2958000,2000,2000,2202000,1000,0,2436000,508000,30000,0,0,0,0,3000,0,0,44000,34000,0,0,0,-146000,0,0,0,0,10000,-102000
AED,10000,2000,8000,3000,0,0,3000,7000,7000,0,7000,-3000,0,6000,0,2000,0,4000,0,0,6000,1000,0,0,0,0,0,739000,8000,349000,57000,306000,0,362000,313000,19000,0,0,0,0,0,0,0,0,7000,0,0,0,-24000,0,0,0,17000,0,1000
ROU,164000,103000,61000,163000,0,0,163000,1000,1000,0,1000,-2000,0,-26000,0,28000,23000,185000,19000,47000,302000,4000,0,0,0,0,0,852000,163000,128000,283000,121000,0,554000,204000,104000,0,0,0,2000,-1000,0,0,1000,0,-1000,0,0,9000,0,0,0,-7000,0,2000
GLPG,41000,36000,5000,44000,0,0,44000,-3000,-3000,0,-3000,0,0,-1000,0,141000,0,32000,0,1000,177000,0,0,0,0,0,0,287000,29000,0,113000,0,0,120000,274000,-100000,0,0,0,2000,0,0,0,0,5000,-3000,0,0,-3000,0,0,0,0,0,2000
WEB,5000,1000,4000,1000,0,0,1000,3000,3000,0,3000,0,0,5000,0,0,0,4000,0,0,5000,0,0,0,0,0,0,195000,1000,53000,59000,1000,0,60000,37000,29000,0,0,0,0,0,0,0,0,3000,0,0,0,-2000,0,0,0,-2000,0,0
FLOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,60000,36000,10000,126000,7000,0,0,0,0,0,222000,31000,72000,81000,46000,1000,133000,35000,-21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIKO,36000,21000,16000,34000,0,0,34000,2000,2000,0,2000,0,0,2000,0,10000,0,27000,21000,1000,59000,0,0,0,0,0,0,118000,12000,26000,28000,12000,0,51000,5000,0,0,0,0,3000,3000,0,0,0,7000,-3000,0,0,-3000,0,0,0,0,0,4000
