COMP,Total Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Research Development,Selling General and Administrative,Total Operating Expenses,Operating Income or Loss,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest And Taxes,Interest Expense,Income Before Tax,Net Income From Continuing Ops,Net Income,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Total Assets,Accounts Payable,Short/Current Long Term Debt,Total Current Liabilities,Long Term Debt,Deferred Long Term Liability Charges,Total Liabilities,Common Stock,Retained Earnings,Total Stockholder Equity,Net Tangible Assets,Net Income,Depreciation,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
EURN,9000,29000,-20000,42000,0,0,42000,-33000,-33000,0,-33000,-4000,0,-23000,0,74000,0,67000,0,51000,192000,23000,0,0,0,0,0,1921000,32000,975000,245000,837000,0,1120000,425000,423000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROU,164000,103000,61000,163000,0,0,163000,1000,1000,0,1000,-2000,0,-26000,0,28000,23000,185000,19000,47000,302000,4000,0,0,0,0,0,852000,163000,128000,283000,121000,0,554000,204000,104000,0,0,0,2000,-1000,0,0,1000,0,-1000,0,0,9000,0,0,0,-7000,0,2000
AED,10000,2000,8000,3000,0,0,3000,7000,7000,0,7000,-3000,0,6000,0,2000,0,4000,0,0,6000,1000,0,0,0,0,0,739000,8000,349000,57000,306000,0,362000,313000,19000,0,0,0,0,0,0,0,0,7000,0,0,0,-24000,0,0,0,17000,0,1000
GLPG,41000,36000,5000,44000,0,0,44000,-3000,-3000,0,-3000,0,0,-1000,0,141000,0,32000,0,1000,177000,0,0,0,0,0,0,287000,29000,0,113000,0,0,120000,274000,-100000,0,0,0,2000,0,0,0,0,5000,-3000,0,0,-3000,0,0,0,0,0,2000
WEB,5000,1000,4000,1000,0,0,1000,3000,3000,0,3000,0,0,3000,0,0,0,4000,0,0,5000,0,0,0,0,0,0,197000,1000,62000,67000,1000,0,68000,37000,17000,0,0,0,0,0,0,0,0,3000,0,0,0,-2000,0,0,0,-1000,0,0
FLOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,60000,36000,10000,126000,7000,0,0,0,0,0,222000,31000,72000,81000,46000,1000,133000,35000,-21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIKO,36000,21000,16000,34000,0,0,34000,2000,2000,0,2000,0,0,2000,0,10000,0,27000,21000,1000,59000,0,0,0,0,0,0,118000,12000,26000,28000,12000,0,51000,5000,0,0,0,0,3000,3000,0,0,0,7000,-3000,0,0,-3000,0,0,0,0,0,4000
UNITB,44000,32000,13000,41000,0,0,41000,4000,4000,0,4000,-1000,0,1000,0,38000,0,18000,34000,4000,121000,0,0,0,0,0,0,206000,16000,110000,64000,95000,44000,162000,51000,1000,0,0,0,-2000,3000,0,8000,7000,22000,0,0,0,-5000,0,0,0,-1000,0,16000
SPA,54000,32000,23000,49000,0,0,49000,5000,5000,0,5000,0,0,3000,0,64000,0,42000,20000,0,126000,0,0,0,0,0,0,225000,29000,3000,86000,2000,0,119000,5000,13000,0,0,0,3000,6000,0,0,0,13000,-3000,0,0,-6000,0,0,0,1000,0,8000
RCUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129000,0,49000,59000,76000,313000,1000,0,0,0,0,0,805000,56000,426000,260000,370000,23000,650000,319000,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOTB,86000,52000,34000,75000,0,0,75000,11000,11000,0,11000,-1000,0,7000,0,12000,0,42000,17000,1000,71000,0,0,0,0,0,0,334000,34000,70000,119000,8000,0,163000,11000,167000,0,0,0,3000,1000,0,1000,1000,14000,-8000,0,0,-8000,0,0,0,-4000,0,2000
ZTS,54000,31000,23000,52000,0,0,52000,2000,2000,0,2000,0,0,1000,0,11000,0,58000,14000,0,94000,3000,0,0,0,0,0,163000,29000,14000,80000,3000,0,86000,50000,3000,0,0,0,1000,0,0,0,-3000,0,-2000,0,0,-3000,0,0,0,3000,0,1000
KEYW,2000,1000,1000,2000,0,0,2000,0,0,0,0,0,0,1000,0,0,0,3000,0,0,4000,0,0,0,0,0,0,24000,2000,4000,6000,2000,0,8000,13000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBLB,1135000,420000,715000,804000,0,0,804000,331000,331000,0,331000,0,0,315000,0,1075000,183000,616000,620000,158000,3227000,12435000,0,0,0,0,0,18958000,411000,3524000,1000000,3427000,40000,5267000,4469000,6306000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIOE,81000,64000,17000,75000,0,0,75000,5000,5000,0,5000,-1000,0,5000,0,41000,37000,53000,85000,3000,219000,0,0,0,0,0,0,347000,29000,134000,75000,100000,0,195000,46000,114000,0,0,0,4000,4000,0,4000,0,14000,-1000,0,0,-11000,0,0,0,-3000,0,0
EVS,39000,10000,28000,22000,0,0,22000,16000,16000,0,16000,0,0,11000,0,12000,0,33000,16000,3000,63000,9000,0,0,0,0,0,109000,5000,10000,30000,8000,0,40000,8000,65000,0,0,0,0,-10000,0,0,1000,3000,-2000,0,0,-2000,0,0,0,-7000,0,-6000
BANI,1000,3000,-2000,5000,0,0,5000,-4000,-4000,0,-4000,-2000,0,-6000,0,4000,0,13000,152000,0,169000,40000,0,0,0,0,0,357000,21000,208000,40000,193000,0,241000,132000,0,0,0,0,0,-1000,0,0,0,0,0,0,0,17000,0,0,0,-16000,0,1000
CFEB,592000,369000,223000,568000,0,0,568000,24000,24000,0,24000,-10000,0,-44000,0,475000,1000,1117000,216000,101000,1909000,42000,0,0,0,0,0,4161000,1046000,1287000,1951000,859000,0,2958000,841000,358000,0,0,0,32000,17000,0,-1000,0,65000,-13000,0,0,73000,0,0,0,-13000,1000,126000
VGP,4000,1000,4000,3000,0,0,3000,2000,2000,0,2000,-1000,0,8000,0,79000,0,10000,0,0,89000,1000,0,0,0,0,0,366000,6000,171000,28000,160000,0,200000,113000,104000,0,0,0,0,0,0,0,0,5000,0,0,0,-40000,0,0,0,70000,0,36000
COFB,74000,26000,47000,27000,0,0,27000,46000,46000,0,46000,-17000,0,0,0,16000,0,41000,0,46000,105000,12000,0,0,0,0,0,3670000,26000,1744000,576000,1267000,0,1989000,1242000,646000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDXH,2000,2000,0,6000,0,0,6000,-4000,-4000,0,-4000,0,0,-4000,0,25000,0,2000,0,0,28000,0,0,0,0,0,0,29000,3000,0,5000,0,0,5000,79000,-56000,0,0,0,0,0,0,0,0,-4000,0,0,0,-1000,0,0,0,0,0,-4000
SOLV,0,0,0,0,0,0,0,0,0,0,0,-2000,0,14000,0,1000,0,34000,0,0,35000,2516000,0,0,0,0,0,2551000,0,151000,52000,110000,0,162000,311000,2085000,0,0,0,0,0,0,0,-4000,17000,0,0,0,0,0,0,0,-17000,0,0
ELI,346000,183000,163000,260000,0,0,260000,86000,86000,0,86000,-31000,0,49000,0,438000,0,407000,16000,9000,870000,100000,0,0,0,0,0,6532000,227000,3199000,1478000,2626000,0,4323000,1516000,712000,0,0,0,34000,54000,0,0,29000,212000,-162000,0,0,-168000,0,0,0,0,0,44000
SCHD,11000,6000,5000,11000,0,0,11000,0,0,0,0,0,0,0,0,0,0,5000,24000,0,29000,0,0,0,0,0,0,44000,3000,11000,16000,1000,0,18000,4000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,5000,24000,0,0,0,0,0,29000,0,0,1000,0,0,1000,8000,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYR,697000,382000,315000,607000,0,0,607000,90000,90000,0,90000,-9000,0,-52000,0,292000,0,181000,516000,15000,1033000,46000,0,0,0,0,0,3220000,436000,962000,997000,839000,3000,2350000,1650000,-506000,0,0,0,89000,21000,0,13000,19000,102000,-41000,0,0,-41000,0,0,0,36000,-7000,90000
ABO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,1000,0,0,0,0,0,0,3000,1000,1000,2000,1000,0,4000,138000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIL,19000,18000,2000,18000,0,0,18000,1000,1000,0,1000,0,0,1000,0,6000,0,29000,0,0,36000,0,0,0,0,0,0,96000,11000,0,24000,0,0,25000,38000,3000,0,0,0,0,0,0,0,-2000,-1000,0,0,0,0,0,0,0,0,0,-1000
CARD,0,2000,-2000,3000,0,0,3000,-3000,-3000,0,-3000,0,0,-3000,0,19000,3000,0,0,0,23000,0,0,0,0,0,0,32000,2000,0,3000,0,1000,15000,55000,-36000,0,0,0,0,0,0,0,0,-3000,0,0,0,-2000,0,0,0,12000,0,8000
SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,92000,89000,10000,212000,1000,0,0,0,0,0,364000,10000,175000,147000,82000,0,265000,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNET,417000,236000,181000,309000,0,0,309000,108000,108000,0,108000,-65000,0,-37000,0,214000,0,175000,15000,7000,432000,1000,0,0,0,0,0,3402000,142000,3868000,768000,3473000,0,4872000,45000,-2393000,0,0,0,36000,-7000,0,0,49000,189000,-60000,0,0,-73000,0,0,0,-11000,0,105000
COLR,2200000,1686000,514000,2082000,0,0,2082000,118000,118000,0,118000,0,0,87000,0,603000,17000,522000,575000,5000,1742000,160000,0,0,0,0,0,3722000,1047000,32000,1593000,11000,0,1755000,261000,1996000,0,0,0,49000,14000,0,-5000,2000,186000,-107000,0,0,-102000,0,0,0,-90000,0,-6000
TESB,346000,285000,61000,354000,0,0,354000,-8000,-8000,0,-8000,-18000,0,-18000,0,49000,0,176000,256000,13000,495000,29000,0,0,0,0,0,1090000,175000,308000,418000,200000,0,850000,261000,34000,0,0,0,15000,18000,0,5000,-17000,13000,-24000,0,0,-30000,0,0,0,30000,-1000,12000
WDP,30000,8000,22000,10000,0,0,10000,20000,20000,0,20000,0,0,17000,0,2000,0,7000,0,9000,18000,11000,0,0,0,0,0,1308000,11000,711000,193000,521000,0,781000,306000,171000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KBCA,26000,1000,25000,1000,0,0,1000,25000,25000,0,25000,-7000,0,18000,0,0,0,0,0,0,0,2442000,0,0,0,0,0,2442000,0,380000,17000,375000,0,392000,2022000,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCB,877000,296000,581000,754000,0,0,754000,124000,124000,0,124000,-30000,0,56000,0,740000,0,926000,627000,66000,2421000,79000,0,0,0,0,0,9907000,247000,2750000,2336000,2015000,0,5305000,2154000,2660000,0,0,0,59000,-41000,0,10000,-4000,133000,-60000,0,0,-62000,0,0,0,120000,-1000,190000
HAMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,0,235000,13000,10000,379000,3000,0,0,0,0,0,516000,105000,178000,340000,89000,10000,448000,16000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,2000,2000,0,0,0,0,0,6000,0,0,0,0,0,1000,5000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOBB,357000,246000,111000,329000,0,0,329000,29000,29000,0,29000,-1000,0,15000,0,14000,0,229000,21000,3000,279000,3000,0,0,0,0,0,1450000,352000,571000,493000,549000,0,1113000,132000,205000,0,0,0,42000,16000,0,4000,0,66000,-125000,0,0,-109000,0,0,0,44000,0,1000
BPOST,636000,487000,149000,544000,0,0,544000,93000,93000,0,93000,-2000,0,53000,0,448000,0,387000,9000,14000,858000,341000,0,0,0,0,0,1929000,189000,87000,810000,73000,13000,1352000,364000,153000,0,0,0,6000,-69000,0,-1000,11000,47000,-29000,0,0,-34000,0,0,0,-195000,0,-183000
FOY,157000,119000,38000,130000,0,0,130000,27000,27000,0,27000,0,0,17000,0,280000,0,70000,0,151000,513000,5174000,0,0,0,0,0,5806000,559000,68000,847000,1000,0,5042000,48000,113000,0,0,0,1000,12000,0,0,91000,10000,0,0,0,-3000,0,0,0,0,0,7000
TIG,1000,0,1000,5000,0,0,5000,-4000,-4000,0,-4000,0,0,-4000,0,16000,1000,2000,0,6000,24000,0,0,0,0,0,0,63000,2000,9000,6000,8000,0,15000,116000,-74000,0,0,0,0,0,0,0,-1000,-3000,0,0,0,-1000,0,0,0,10000,0,6000
CAMB,32000,27000,5000,33000,0,0,33000,-1000,-1000,0,-1000,0,0,-1000,0,1000,0,18000,24000,0,43000,0,0,0,0,0,0,55000,12000,18000,29000,2000,0,33000,4000,18000,0,0,0,1000,4000,0,0,0,4000,-1000,0,0,-1000,0,0,0,-3000,0,0
VAN,43000,10000,33000,35000,0,0,35000,7000,7000,0,7000,-1000,0,6000,0,39000,0,18000,36000,0,96000,14000,0,0,0,0,0,197000,5000,0,15000,0,0,20000,3000,181000,0,0,0,2000,0,0,0,0,8000,-1000,0,0,-1000,0,0,0,0,0,6000
WEHB,9000,1000,8000,1000,0,0,1000,8000,8000,0,8000,0,0,9000,0,3000,0,6000,0,0,9000,19000,0,0,0,0,0,627000,3000,121000,17000,113000,1000,136000,294000,194000,0,0,0,0,0,0,0,-2000,4000,0,0,0,-10000,0,0,0,6000,0,1000
ENINV,5000,3000,2000,4000,0,0,4000,0,0,0,0,-1000,0,-1000,0,1000,0,3000,1000,0,5000,0,0,0,0,0,0,16000,2000,65000,70000,0,0,70000,24000,-79000,0,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,-1000,0,0
IMMOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,1000,3000,0,0,0,0,0,25000,1000,1000,2000,0,0,2000,22000,2000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0
RTL,1841000,685000,1156000,1440000,0,0,1440000,401000,401000,0,401000,-4000,0,355000,0,574000,12000,1654000,15000,1004000,3345000,401000,0,0,0,0,0,7567000,1673000,567000,2886000,530000,0,3974000,192000,0,0,0,0,-33000,0,0,0,-3000,427000,-32000,0,0,76000,0,0,0,-298000,-2000,198000
THI,5000,3000,2000,5000,0,0,5000,0,0,0,0,0,0,-1000,0,1000,0,5000,0,1000,7000,0,0,0,0,0,0,19000,9000,4000,15000,2000,0,17000,5000,-4000,0,0,0,0,0,0,0,0,-1000,0,0,0,1000,0,0,0,0,0,0
ZENT,17000,14000,3000,16000,0,0,16000,1000,1000,0,1000,0,0,0,0,4000,0,16000,7000,1000,27000,0,0,0,0,0,0,38000,8000,9000,27000,3000,2000,31000,12000,-5000,0,0,0,0,-1000,0,0,0,2000,0,0,0,-2000,0,0,0,0,1000,1000
