season	tic	treat
1	ABO	1	29484.848484848484
2	ABO	1	79539.0625
3	ABO	1	322029.23076923075
0	MEDV	1	205.8139534883721
1	MEDV	1	657.5757575757576
2	MEDV	1	600
3	MEDV	1	76.92307692307692
0	BIL	1	10845.348837209302
1	BIL	1	25506.060606060608
2	BIL	1	25668.75
3	BIL	1	19741.53846153846
0	CARD	1	5337.096774193548
1	CARD	1	36760.606060606064
2	CARD	1	40251.5625
3	CARD	1	12647.692307692309
0	SAP	1	261.6279069767442
1	SAP	1	189.3939393939394
2	SAP	1	171.875
3	SAP	1	120
0	TNET	1	98851.16279069768
1	TNET	1	78871.21212121213
2	TNET	1	94354.6875
3	TNET	1	97870.76923076923
0	COLR	1	134723.2558139535
1	COLR	1	119224.24242424243
2	COLR	1	160679.6875
3	COLR	1	132238.46153846153
0	WDP	0	10882.558139534884
1	WDP	0	8939.39393939394
2	WDP	0	12046.875
3	WDP	0	11826.153846153846
0	TESB	1	51030.232558139534
1	TESB	1	64187.878787878784
2	TESB	1	64523.4375
3	TESB	1	43615.38461538462
0	MARC	1	8.13953488372093
1	MARC	1	74.24242424242425
2	MARC	1	17.1875
3	MARC	1	118.46153846153847
0	KBCA	1	87259.30232558139
1	KBCA	1	95827.27272727272
2	KBCA	1	66145.3125
3	KBCA	1	42084.61538461538
0	UCB	1	241093.02325581395
1	UCB	1	198037.87878787878
2	UCB	0	293942.1875
3	UCB	0	194363.07692307694
0	HAMO	1	2541.860465116279
1	HAMO	1	3240.909090909091
2	HAMO	1	4276.5625
3	HAMO	1	2606.153846153846
0	BELU	1	227.90697674418604
1	BELU	1	68.18181818181819
2	BELU	1	182.8125
3	BELU	1	213.84615384615384
0	MOBB	1	191459.3023255814
1	MOBB	1	119450
2	MOBB	1	130807.8125
3	MOBB	1	154195.38461538462
0	LUXA	0	25.58139534883721
1	LUXA	0	42.42424242424242
2	LUXA	0	37.5
3	LUXA	0	18.75
0	BPOST	1	381925
1	BPOST	1	112207.57575757576
2	BPOST	1	467864.0625
3	BPOST	1	235975.38461538462
0	FOY	0	811.6279069767442
1	FOY	0	192.42424242424244
2	FOY	0	421.875
3	FOY	0	1776.923076923077
0	SUCR	1	72.09302325581395
1	SUCR	1	39.39393939393939
2	SUCR	1	57.8125
3	SUCR	1	13.846153846153847
0	QFG	1	3959.3023255813955
1	QFG	1	5439.0625
2	QFG	1	12311.111111111111
3	QFG	1	5416.393442622951
0	TIG	1	1045262.7906976744
1	TIG	1	2813589.393939394
2	TIG	1	3523450
3	TIG	1	762216.9230769231
0	CAMB	1	227.90697674418604
1	CAMB	1	193.93939393939394
2	CAMB	1	187.5
3	CAMB	1	296.9230769230769
0	VAN	1	4200
1	VAN	1	6796.969696969697
2	VAN	1	8232.8125
3	VAN	1	4138.461538461538
0	WEHB	0	1313.953488372093
1	WEHB	0	1734.8484848484848
2	WEHB	0	1232.8125
3	WEHB	0	1247.6923076923076
0	ENINV	1	782.5581395348837
1	ENINV	1	5700
2	ENINV	1	5925
3	ENINV	1	3753.846153846154
0	IMMOU	0	24.41860465116279
1	IMMOU	0	40.90909090909091
2	IMMOU	1	87.5
3	IMMOU	1	107.6923076923077
0	RTL	0	34329.06976744186
1	RTL	0	47728.78787878788
2	RTL	0	22525
3	RTL	0	21447.69230769231
3	INTO	1	5469.2307692307695
0	THI	1	116.27906976744185
1	THI	1	2263.6363636363635
2	THI	1	75
3	THI	1	21.53846153846154
0	ZENT	1	4574.418604651163
1	ZENT	1	3365.151515151515
2	ZENT	1	8479.6875
3	ZENT	1	9527.692307692309
0	UMI	1	484456.9767441861
1	UMI	1	274462.1212121212
2	UMI	1	564965.625
3	UMI	1	458669.23076923075
0	BEFB	0	21706.493506493505
1	BEFB	0	19053.030303030304
2	BEFB	0	24220.3125
3	BEFB	0	25130.76923076923
0	NEU	1	4.651162790697675
1	NEU	1	21.21212121212121
2	NEU	1	7.8125
3	NEU	1	3.076923076923077
0	ABLX	1	153754.6511627907
1	ABLX	1	137801.51515151514
2	ABLX	1	240131.25
3	ABLX	1	95649.23076923077
0	BELG	1	668127.9069767442
1	BELG	1	709512.1212121212
2	BELG	1	641396.875
3	BELG	1	637072.3076923077
0	GRYFO	1	2820.9302325581393
1	GRYFO	1	1762.121212121212
2	GRYFO	1	3500
3	GRYFO	1	2470.769230769231
2	VIO	1	52064.0625
3	VIO	1	27213.846153846152
0	DELB	1	485934.88372093026
1	DELB	1	406637.8787878788
2	DELB	1	539262.5
3	DELB	0	373869.23076923075
0	CONN	1	1551.1627906976744
1	CONN	1	2856.060606060606
2	CONN	1	3081.25
3	CONN	1	1666.1538461538462
0	DECB	1	60551.16279069767
1	DECB	1	112554.54545454546
2	DECB	1	238670.3125
3	DECB	1	76615.38461538461
0	IBAB	1	20056.976744186046
1	IBAB	1	31774.242424242424
2	IBAB	1	23748.4375
3	IBAB	1	56920
0	FOU	1	372.09302325581393
1	FOU	1	693.939393939394
2	FOU	1	1731.25
3	FOU	1	672.3076923076923
1	ENVI	1	42.42424242424242
0	BAR	0	31636.04651162791
1	BAR	0	24618.18181818182
2	BAR	0	25009.375
3	BAR	0	22887.69230769231
0	ACKB	0	26846.511627906977
1	ACKB	0	16707.575757575756
2	ACKB	0	32953.125
3	ACKB	0	28520
0	REA	1	3395.3488372093025
1	REA	1	7083.333333333333
2	REA	1	11678.125
3	REA	1	5152.307692307692
0	BEKB	1	121540.69767441861
1	BEKB	1	98656.06060606061
2	BEKB	1	85829.6875
3	BEKB	1	54804.61538461538
0	PIC	1	5174.418604651163
1	PIC	1	3934.848484848485
2	PIC	1	5898.4375
3	PIC	1	1561.5384615384614
0	KBC	1	1070689.534883721
1	KBC	1	908718.1818181818
2	KBC	1	1059756.25
3	KBC	1	920507.6923076923
0	RES	0	1717.4418604651162
1	RES	0	1969.6969696969697
0	EXM	1	61204.651162790695
1	EXM	1	118689.39393939394
2	EXM	1	67942.1875
3	EXM	1	55373.846153846156
0	SIP	0	3346.5116279069766
1	SIP	0	2760.6060606060605
2	SIP	0	3084.375
3	SIP	0	2586.153846153846
0	CMB	1	19616.279069767443
1	CMB	1	24231.81818181818
2	CMB	1	22673.4375
3	CMB	1	19010.76923076923
2	WESB	1	1.5625
3	WESB	1	3.076923076923077
0	ATEB	1	1641.860465116279
1	ATEB	1	1763.6363636363637
2	ATEB	1	2176.5625
3	ATEB	1	1843.076923076923
0	THR	1	261089.53488372092
1	THR	1	166625.75757575757
2	THR	1	158320.3125
3	THR	1	210472.3076923077
0	PAY	1	1494.1860465116279
1	PAY	1	984.8484848484849
2	PAY	1	4279.6875
3	PAY	1	2909.230769230769
0	ASC	0	302.3255813953488
1	ASC	0	512.1212121212121
2	ASC	0	1153.125
3	ASC	0	3472.3076923076924
0	OIM	1	24546.511627906977
1	OIM	1	138218.18181818182
2	OIM	1	123978.125
3	OIM	1	182870.76923076922
0	ANT	0	55.81395348837209
1	ANT	0	81.81818181818181
2	ANT	0	3.125
3	ANT	0	18.46153846153846
3	CPINV	1	3509.230769230769
0	GLOG	1	5003.488372093023
1	GLOG	1	14092.424242424242
2	GLOG	1	15601.5625
3	GLOG	1	10889.23076923077
0	TERB	0	355.8139534883721
1	TERB	0	440.90909090909093
2	TERB	0	425
3	TERB	0	386.15384615384613
0	IMMO	1	1902.3255813953488
1	IMMO	1	2036.3636363636363
2	IMMO	1	1578.125
3	IMMO	1	1709.2307692307693
0	GIMB	1	12774.418604651162
1	GIMB	1	14439.0625
2	GIMB	1	19947.619047619046
3	GIMB	1	16077.41935483871
0	BREB	1	4794.186046511628
1	BREB	1	5724.242424242424
2	BREB	1	5718.75
