tics	cnt	totvol	avgvol
OPTI	65	69872600	1074963.076923077
AGFB	65	23120200	355695.3846153846
ZEN	65	1600	24.615384615384617
VASTB	65	66000	1015.3846153846154
FP	64	0	0
PCBB	65	23900	367.6923076923077
SMAR	65	588600	9055.384615384615
FLUX	65	129800	1996.923076923077
MOP	65	0	0
WOLE	65	0	0
SGO	64	0	0
SAIG	65	0	0
AGS	65	28567500	439500
JEN	65	216100	3324.6153846153848
KIN	65	714200	10987.692307692309
LOUV	65	200	3.076923076923077
WESL	65	1100	16.923076923076923
LEAS	65	121700	1872.3076923076924
SAB	65	1000	15.384615384615385
IEP	65	1370000	21076.923076923078
ECONB	65	6105200	93926.15384615384
MOUR	65	7400	113.84615384615384
KOR	65	2000	30.76923076923077
ACCB	65	19027200	292726.1538461539
DEXB	65	251049400	3862298.4615384615
MONT	65	227300	3496.923076923077
TEXF	65	37500	576.9230769230769
REC	65	2220700	34164.61538461538
AUDB	65	2100	32.30769230769231
MELE	65	2028600	31209.23076923077
SOF	65	540300	8312.307692307691
ABI	65	90134100	1386678.4615384615
TUB	65	634300	9758.461538461539
INGA	64	0	0
DIE	65	2481200	38172.307692307695
RHJI	65	4593900	70675.38461538461
EURN	65	4544700	69918.46153846153
AED	65	464000	7138.461538461538
ROU	65	95100	1463.076923076923
TUBAT	65	2500	38.46153846153846
GLPG	64	0	0
EZBG	65	151900	2336.923076923077
FLOB	65	4100	63.07692307692308
MIKO	65	24200	372.3076923076923
MAC	65	100	1.5384615384615385
UNITB	65	66400	1021.5384615384615
SPA	65	3200	49.23076923076923
MOPF	65	0	0
RCUS	65	5367300	82573.84615384616
LOTB	65	24500	376.9230769230769
ZTS	65	167200	2572.3076923076924
KEYW	65	383900	5906.153846153846
GBLB	65	5480700	84318.46153846153
SIOE	65	861200	13249.23076923077
DISL	65	0	0
EVS	65	2620800	40320
BANI	65	146500	2253.846153846154
CFEB	65	834900	12844.615384615385
VGP	65	17100	263.0769230769231
COFB	65	2437400	37498.46153846154
MDXH	65	4965600	76393.84615384616
SOLV	65	136100	2093.846153846154
ELI	65	2737000	42107.692307692305
SCHD	65	0	0
BELR	65	3000	46.15384615384615
QRF	65	96200	1480
NYR	65	25722800	395735.3846153846
ABO	65	20931900	322029.23076923075
MEDV	65	5000	76.92307692307692
BIL	65	1283200	19741.53846153846
CARD	65	822100	12647.692307692309
SAP	65	7800	120
TNET	65	6361600	97870.76923076923
COLR	65	8595500	132238.46153846153
WDP	65	768700	11826.153846153846
TESB	65	2835000	43615.38461538462
MACK	65	100	1.5384615384615385
MARC	65	7700	118.46153846153847
KBCA	65	2735500	42084.61538461538
UCB	65	12633600	194363.07692307694
HAMO	65	169400	2606.153846153846
BELU	65	13900	213.84615384615384
MOBB	65	10022700	154195.38461538462
BEAB	65	1800	27.692307692307693
LUXA	64	1200	18.75
BPOST	65	15338400	235975.38461538462
FOY	65	115500	1776.923076923077
SUCR	65	900	13.846153846153847
QFG	61	330400	5416.393442622951
TIG	65	49544100	762216.9230769231
CAMB	65	19300	296.9230769230769
VAN	65	269000	4138.461538461538
WEHB	65	81100	1247.6923076923076
ENINV	65	244000	3753.846153846154
IMMOU	65	7000	107.6923076923077
RTL	65	1394100	21447.69230769231
INTO	65	355500	5469.2307692307695
THI	65	1400	21.53846153846154
ZENT	65	619300	9527.692307692309
BAS	65	300	4.615384615384615
UMI	65	29813500	458669.23076923075
BEFB	65	1633500	25130.76923076923
NEU	65	200	3.076923076923077
ABLX	65	6217200	95649.23076923077
BELG	65	41409700	637072.3076923077
GRYFO	65	160600	2470.769230769231
VIO	65	1768900	27213.846153846152
WOLS	65	200	3.076923076923077
ENGB	65	800	12.307692307692308
DELB	65	24301500	373869.23076923075
CONN	65	108300	1666.1538461538462
DECB	65	4980000	76615.38461538461
IBAB	65	3699800	56920
FOU	65	43700	672.3076923076923
ENVI	65	0	0
GENK	65	1100	16.923076923076923
BAR	65	1487700	22887.69230769231
ACKB	65	1853800	28520
REA	65	334900	5152.307692307692
BEKB	65	3562300	54804.61538461538
PIC	65	101500	1561.5384615384614
COMB	65	43500	669.2307692307693
DIEG	65	700	10.76923076923077
KBC	65	59833000	920507.6923076923
VRAP	64	0	0
RES	65	71200	1095.3846153846155
EXM	65	3599300	55373.846153846156
SIP	65	168100	2586.153846153846
BNB	65	2700	41.53846153846154
CMB	65	1235700	19010.76923076923
WESB	65	200	3.076923076923077
ATEB	65	119800	1843.076923076923
THR	65	13680700	210472.3076923077
PAY	65	189100	2909.230769230769
ASC	65	225700	3472.3076923076924
OIM	65	11886600	182870.76923076922
SOLB	65	11489500	176761.53846153847
ANT	65	1200	18.46153846153846
CPINV	65	228100	3509.230769230769
GLOG	65	707800	10889.23076923077
TERB	65	25100	386.15384615384613
IMMO	65	111100	1709.2307692307693
GIMB	62	996800	16077.41935483871
