quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover	comp	totalrevenue	costofrevenue	grossprofit	operatingexpenses	researchdevelopment	sellinggeneralandadministrative	totaloperatingexpenses	operatingincomeorloss	v20	totalotherincomeexpensesnet	earningsbeforeinterestandtaxes	interestexpense	incomebeforetax	netincomefromcontinuingops	netincome	cashandcashequivalents	shortterminvestments	netreceivables	inventory	othercurrentassets	totalcurrentassets	longterminvestments	propertyplantandequipment	goodwill	intangibleassets	accumulatedamortization	otherassets	totalassets	accountspayable	shortcurrentlongtermdebt	totalcurrentliabilities	longtermdebt	deferredlongtermliabilitycharges	totalliabilities	commonstock	retainedearnings	totalstockholderequity	nettangibleassets	v50	depreciation	changesinaccountsreceivables	changesinliabilities	changesininventories	changesinotheroperatingactivitie	totalcashflowfromoperatingactivi	capitalexpenditures	investments	othercashflowsfrominvestingactiv	totalcashflowsfrominvestingactiv	dividendspaid	salepurchaseofstock	netborrowings	totalcashflowsfromfinancingactiv	effectofexchangeratechanges	changeincashandcashequivalents
3	IBA	BE0003766806	IBAB	1	63	10.664683	60178.715	195.82539	625999.56	IBAB	49000	28000	22000	44000	0	0	44000	5000	5000	0	5000	-1000	0	2000	0	45000	0	57000	90000	7000	201000	36000	0	0	0	0	0	299000	38000	34000	166000	29000	0	209000	71000	10000	0	0	0	1000	3000	0	-4000	0	8000	-1000	0	0	2000	0	0	0	-1000	0	8000
3	IMMOBEL	BE0003599108	IMMO	1	63	40.655342	1875.3175	25.349207	76151.336	IMMO	10000	6000	4000	9000	0	0	9000	1000	1000	0	1000	-2000	0	11000	0	27000	0	13000	291000	22000	354000	73000	0	0	0	0	0	431000	13000	194000	108000	115000	0	225000	60000	145000	0	0	0	0	-1000	0	-3000	0	5000	0	0	0	0	0	0	0	0	0	5000
3	KBC ANCORA	BE0003867844	KBCA	1	63	25.725639	44130.684	388.09525	1129582.9	KBCA	9000	1000	9000	1000	0	0	1000	9000	9000	0	9000	-5000	0	-5000	0	0	0	0	0	0	0	2442000	0	0	0	0	0	2442000	0	401000	28000	375000	0	403000	2022000	17000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	BEKAERT	BE0974258874	BEKB	1	63	28.32893	58511.16	626	1654773.9	BEKB	804000	676000	129000	754000	0	0	754000	51000	51000	0	51000	-15000	0	40000	0	533000	10000	882000	618000	62000	2105000	170000	0	0	0	0	0	3724000	378000	1251000	1071000	860000	0	2179000	208000	1345000	0	0	0	42000	0	0	0	-62000	5000	-29000	0	0	-23000	0	0	0	89000	0	71000
3	BPOST	BE0974268972	BPOST	1	63	17.538565	248390.88	1020.9048	4336546.5	BPOST	609000	431000	179000	469000	0	0	469000	140000	140000	0	140000	-10000	0	93000	0	771000	0	288000	10000	1000	1069000	406000	0	0	0	0	0	2194000	703000	86000	868000	75000	0	1406000	364000	192000	0	0	0	21000	8000	0	0	-3000	12000	-16000	0	0	-16000	0	0	0	-41000	0	-45000
3	BREDERODE	LU1068091351	BREB	1	63	28.50621	7635.7461	47.42857	216106.98	BREB	67000	0	67000	0	0	0	0	67000	67000	0	67000	0	0	66000	0	39000	0	10000	0	0	49000	1198000	0	0	0	0	0	1252000	0	0	23000	0	0	23000	246000	0	0	0	0	0	0	0	0	0	9000	0	0	0	5000	0	0	0	-11000	0	3000
3	CFE	BE0003883031	CFEB	0	63	78.591972	13512.143	269.66666	1065137.3	CFEB	887000	535000	352000	840000	0	0	840000	46000	46000	0	46000	-10000	0	32000	0	428000	54000	1194000	123000	112000	1911000	222000	0	0	0	0	0	4032000	1020000	1006000	1870000	657000	0	2796000	841000	393000	0	0	0	54000	-69000	0	-2000	0	58000	-26000	0	0	-23000	0	0	0	-41000	1000	-5000
3	CMB	BE0003817344	CMB	1	63	20.496635	19743.73	130.57143	403477	CMB	130000	115000	14000	137000	0	0	137000	-7000	-7000	0	-7000	-6000	0	0	0	14000	4000	136000	0	0	154000	183000	0	0	0	0	0	1853000	76000	644000	156000	568000	0	786000	35000	1007000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	COFINIMMO	BE0003593044	COFB	0	63	88.888641	39366.793	884.58728	3514943	COFB	65000	12000	53000	13000	0	0	13000	51000	51000	0	51000	-3000	0	-61000	0	24000	0	37000	0	37000	102000	6000	0	0	0	0	0	3469000	70000	1650000	648000	1104000	0	1872000	1275000	-61000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	D&#039;IETEREN	BE0974259880	DIE	1	63	31.945009	39885.855	510.19049	1273365.8	DIE	1487000	1054000	433000	1435000	0	0	1435000	51000	51000	0	51000	-12000	0	34000	0	204000	235000	527000	572000	0	1548000	84000	0	0	0	0	0	3724000	708000	1048000	925000	852000	0	1971000	184000	1662000	0	0	0	30000	0	0	0	-10000	67000	-28000	0	0	-22000	0	0	0	-43000	0	2000
