season	tic	treat	avg	COMP	Total_Revenue	Cost_of_Revenue	Gross_Profit	Operating_Expenses	Research_Development	Selling_General_and_Administrative	Total_Operating_Expenses	Operating_Income_or_Loss	Operating_Income_or_Loss	Total_Other_Income/Expenses_Net	Earnings_Before_Interest_And_Taxes	Interest_Expense	Income_Before_Tax	Net_Income_From_Continuing_Ops	Net_Income	Cash_And_Cash_Equivalents	Short_Term_Investments	Net_Receivables	Inventory	Other_Current_Assets	Total_Current_Assets	Long_Term_Investments	Property_Plant_and_Equipment	Goodwill	Intangible_Assets	Accumulated_Amortization	Other_Assets	Total_Assets	Accounts_Payable	Short/Current_Long_Term_Debt	Total_Current_Liabilities	Long_Term_Debt	Deferred_Long_Term_Liability_Charges	Total_Liabilities	Common_Stock	Retained_Earnings	Total_Stockholder_Equity	Net_Tangible_Assets	Net_Income	Depreciation	Changes_In_Accounts_Receivables	Changes_In_Liabilities	Changes_In_Inventories	Changes_In_Other_Operating_Activities	Total_Cash_Flow_From_Operating_Activities	Capital_Expenditures	Investments	Other_Cash_flows_from_Investing_Activities	Total_Cash_Flows_From_Investing_Activities	Dividends_Paid	Sale_Purchase_of_Stock	Net_Borrowings	Total_Cash_Flows_From_Financing_Activities	Effect_Of_Exchange_Rate_Changes	Change_In_Cash_and_Cash_Equivalents
3	ASC	0	52.04470231707318	ASC	8000	0	8000	1000	0	0	1000	7000	7000	0	7000	-2000	0	5000	0	0	0	0	0	4000	4000	0	0	0	0	0	0	487000	0	216000	43000	173000	0	216000	270000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	ATEB	0	37.58187992125984	ATEB	16000	9000	8000	13000	0	0	13000	3000	3000	0	3000	-1000	0	1000	0	2000	37000	33000	261000	1000	334000	11000	0	0	0	0	0	377000	16000	214000	87000	164000	0	272000	45000	12000	0	0	0	0	-5000	0	-8000	-12000	-23000	0	0	0	-6000	0	0	0	28000	0	-2000
3	ATEB	0	37.58187992125984	ATEB	33000	21000	12000	26000	0	0	26000	7000	7000	0	7000	-1000	0	2000	0	12000	12000	30000	256000	1000	311000	39000	0	0	0	0	0	383000	27000	228000	90000	176000	0	280000	51000	71000	0	0	0	0	-14000	0	5000	1000	-3000	-1000	0	0	-6000	0	0	0	1000	0	-7000
1	BAR	0	56.338346456692875	BAR	280000	185000	95000	263000	0	0	263000	17000	17000	0	17000	-1000	0	14000	0	157000	0	221000	212000	1000	598000	12000	0	0	0	0	0	1048000	114000	71000	401000	56000	93000	468000	198000	467000	0	0	0	6000	5000	0	17000	12000	64000	0	0	0	-24000	0	0	0	3000	-2000	40000
3	BAR	0	56.338346456692875	BAR	249000	167000	82000	242000	0	0	242000	7000	7000	0	7000	-1000	0	6000	0	92000	0	201000	237000	0	537000	12000	0	0	0	0	0	1007000	120000	56000	383000	42000	94000	436000	565000	0	0	0	0	6000	10000	0	-12000	-12000	14000	-5000	0	0	-28000	0	0	0	-18000	0	-32000
0	GIMB	0	37.4699409448819	GIMB	119000	36000	82000	75000	0	0	75000	44000	44000	0	44000	-2000	0	5000	0	139000	13000	80000	44000	11000	288000	651000	0	0	0	0	0	1234000	48000	147000	164000	49000	0	245000	270000	702000	0	0	0	3000	-3000	0	-1000	-2000	-14000	-7000	0	0	-15000	0	0	0	-16000	0	-45000
1	GIMB	0	37.4699409448819	GIMB	-42000	-29000	-12000	-61000	0	0	-61000	19000	19000	0	19000	0	0	3000	0	41000	15000	23000	0	6000	86000	795000	0	0	0	0	0	1027000	1000	0	14000	0	0	24000	270000	722000	0	0	0	-2000	4000	0	1000	0	7000	6000	0	0	-32000	0	0	0	2000	0	-24000
2	GIMB	0	37.4699409448819	GIMB	-42000	-29000	-12000	-61000	0	0	-61000	19000	19000	0	19000	0	0	3000	0	41000	15000	23000	0	6000	86000	795000	0	0	0	0	0	1027000	1000	0	14000	0	0	24000	270000	722000	0	0	0	-2000	4000	0	1000	0	7000	6000	0	0	-32000	0	0	0	2000	0	-24000
1	IMMOU	0	49.91854330708663	IMMOU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	1000	3000	0	0	0	0	0	25000	1000	1000	2000	0	0	2000	22000	2000	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0
2	IMMOU	0	49.91854330708663	IMMOU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	1000	3000	0	0	0	0	0	25000	1000	1000	2000	0	0	2000	22000	2000	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0
