season	tic	treat	vol	trades	VPT	tic_symbol	at
1	21	0	1511678	30705	49.23230744178473	BAR	120000
0	22	0	1537231	23188	66.29424702432293	BEFB	57000
1	22	0	1658092	25387	65.31264032772678	BEFB	57000
0	24	0	10739899	13337	805.2709754817425	MDXH	3000
1	24	1	5067998	10314	491.3707581927477	MDXH	3000
0	25	0	1755687	17763	98.83955412937004	MELE	22000
1	25	1	2041815	22343	91.38499753837891	MELE	22000
0	26	0	29598	363	81.53719008264463	MIKO	0
1	26	0	26689	226	118.09292035398231	MIKO	0
0	27	0	8310120	36790	225.87985865724383	MOBB	313000
1	27	1	10150220	42264	240.16231307968957	MOBB	313000
0	28	0	181464	1420	127.79154929577464	MONT	7000
1	28	1	237013	1699	139.50147145379634	MONT	7000
0	29	0	51147783	34840	1468.0764351320322	NYR	525000
1	29	1	26205484	27185	963.9685120470848	NYR	525000
0	31	0	23625717	3444	6859.964285714285	OPTI	7000
1	31	1	69925945	17035	4104.839741708248	OPTI	7000
0	32	0	380798	3109	122.48247024766806	PIC	47000
1	32	1	106487	1057	100.7445600756859	PIC	47000
0	36	0	3843084	8170	470.38971848225214	REC	84000
1	36	1	2243227	6799	329.93484335931754	REC	84000
0	37	0	1641937	5635	291.3818988464951	BIL	11000
1	37	1	1313925	4682	280.6332763776164	BIL	11000
0	39	0	7266230	8920	814.5997757847533	RHJI	0
1	39	1	4671422	8090	577.4316440049444	RHJI	0
0	40	0	186986	1038	180.14065510597302	ROU	122000
1	40	1	98329	839	117.19785458879619	ROU	122000
0	41	0	1453987	19403	74.93619543369581	RTL	2624000
1	41	0	1447182	16623	87.05901461829994	RTL	2624000
0	42	0	15381	357	43.08403361344538	SAP	67000
1	42	1	10772	290	37.144827586206894	SAP	67000
0	43	0	587130	2305	254.72017353579176	SIOE	30000
1	43	1	869206	3951	219.99645659326754	SIOE	30000
0	44	0	15267134	11387	1340.7512075173443	DECB	87000
1	44	1	5084008	6404	793.8800749531542	DECB	87000
0	45	0	34127339	299004	114.1367306122995	DELB	1858000
1	45	0.17543859649122806	25162543	243311	103.41720267476605	DELB	1858000
0	46	0	123056227	7921	15535.440853427597	DEXB	0
1	46	1	251546983	7909	31805.156530534834	DEXB	0
0	48	0	11037295	24730	446.3119692680954	ECONB	486000
1	48	1	6198316	24358	254.46736185236884	ECONB	486000
0	49	0	1781245	19908	89.47382961623468	ELI	243000
1	49	1	2779657	34158	81.37645646700626	ELI	243000
0	50	0	16662433	39569	421.09815764866437	EURN	143000
1	50	1	4691065	18856	248.78367628341113	EURN	143000
0	51	0	2206487	32415	68.06993675767391	EVS	8000
1	51	1	2662512	38973	68.31683473173736	EVS	8000
0	52	0	4332338	22238	194.81689000809425	EXM	60000
1	52	1	3669588	20093	182.63016971084457	EXM	60000
0	54	0	153611	1324	116.0203927492447	FLUX	41000
1	54	1	134376	1237	108.63055780113177	FLUX	41000
0	55	0	6204428	75968	81.67159856781802	GBLB	473000
1	55	0	5589670	69050	80.95104996379435	GBLB	473000
0	57	0	1016497	996	1020.5793172690763	GLOG	0
1	57	1	716197	764	937.4306282722513	GLOG	0
0	59	0	277980	2261	122.94559929234852	HAMO	168000
1	59	1	175862	1317	133.5322703113136	HAMO	168000
0	60	0	77875	1306	59.62863705972435	HOMI	4000
1	60	0	67076	1149	58.37771975630984	HOMI	4000
0	61	0	1414313	4946	285.95086938940557	IBAB	38000
1	61	1	3791259	12337	307.3080165356245	IBAB	38000
