quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover	COMP	Total Revenue	Cost of Revenue	Gross Profit	Operating Expenses	Research Development	Selling General and Administrative	Total Operating Expenses	Operating Income or Loss	Operating Income or Loss	Total Other Income/Expenses Net	Earnings Before Interest And Taxes	Interest Expense	Income Before Tax	Net Income From Continuing Ops	Net Income	Cash And Cash Equivalents	Short Term Investments	Net Receivables	Inventory	Other Current Assets	Total Current Assets	Long Term Investments	Property Plant and Equipment	Goodwill	Intangible Assets	Accumulated Amortization	Other Assets	Total Assets	Accounts Payable	Short/Current Long Term Debt	Total Current Liabilities	Long Term Debt	Deferred Long Term Liability Charges	Total Liabilities	Common Stock	Retained Earnings	Total Stockholder Equity	Net Tangible Assets	Net Income	Depreciation	Changes In Accounts Receivables	Changes In Liabilities	Changes In Inventories	Changes In Other Operating Activities	Total Cash Flow From Operating Activities	Capital Expenditures	Investments	Other Cash flows from Investing Activities	Total Cash Flows From Investing Activities	Dividends Paid	Sale Purchase of Stock	Net Borrowings	Total Cash Flows From Financing Activities	Effect Of Exchange Rate Changes	Change In Cash and Cash Equivalents
3	MDXHEALTH	BE0003844611	MDXH	1	63	4.232111520986785	80444.41269841269	163.71428571428572	342997.4728571428	MDXH	2000	1000	1000	6000	0	0	6000	-4000	-4000	0	-4000	0	0	-4000	0	13000	0	4000	1000	0	19000	0	0	0	0	0	0	21000	3000	0	5000	0	0	5000	76000	-64000	0	0	0	0	-1000	0	0	0	-6000	0	0	0	0	0	0	0	0	0	-6000
3	MELEXIS	BE0165385973	MELE	1	63	29.633002471961834	32409.761904761905	354.6507936507937	966370.2019047618	MELE	82000	43000	39000	60000	0	0	60000	22000	22000	0	22000	0	0	21000	0	53000	0	52000	50000	6000	161000	0	0	0	0	0	0	250000	22000	19000	38000	14000	0	54000	1000	201000	0	0	0	6000	5000	0	-3000	0	25000	-5000	0	0	-6000	0	0	0	0	0	19000
3	MIKO	BE0003731453	MIKO	0	58	66.35312943411463	460.1551724137931	3.896551724137931	30565.259310344827	MIKO	42000	22000	20000	39000	0	0	39000	3000	3000	0	3000	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	MOBISTAR	BE0003735496	MOBB	1	63	14.241959720813211	161114.60317460317	670.8571428571429	2280108.973492063	MOBB	315000	177000	137000	294000	0	0	294000	21000	21000	0	21000	-2000	0	12000	0	10000	0	203000	17000	3000	259000	3000	0	0	0	0	0	1430000	313000	555000	448000	549000	0	1069000	132000	230000	0	0	0	47000	6000	0	2000	0	65000	-47000	0	0	-58000	0	0	0	-8000	0	-2000
3	MONTEA C.V.A.	BE0003853703	MONT	1	63	31.300787175240004	3762.1111111111113	26.96825396825397	117588.650952381	MONT	8000	2000	6000	3000	0	0	3000	5000	5000	0	5000	-2000	0	1000	0	4000	0	22000	0	0	26000	0	0	0	0	0	0	380000	7000	184000	46000	154000	0	199000	191000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	NYRSTAR	BE0003876936	NYR	1	63	1.997767231256757	415960.0634920635	431.5079365079365	816545.1425396826	NYR	677000	358000	319000	684000	0	0	684000	-8000	-8000	0	-8000	-30000	0	-33000	0	310000	0	210000	516000	5000	1056000	62000	0	0	0	0	0	3270000	525000	963000	1286000	619000	0	2436000	1650000	-570000	0	0	0	62000	-14000	0	2000	12000	83000	-45000	0	0	-42000	0	0	0	-34000	1000	9000
3	OPTION	BE0003836534	OPTI	1	63	0.45052705675589266	1109935.634920635	270.3968253968254	618586.3749206349	OPTI	1000	1000	1000	4000	0	0	4000	-3000	-3000	0	-3000	0	0	-3000	0	6000	0	1000	3000	0	10000	1000	0	0	0	0	0	15000	7000	18000	8000	18000	0	25000	7000	-15000	0	0	0	1000	0	0	0	0	-3000	0	0	0	-1000	0	0	0	6000	0	2000
3	PICANOL	BE0003807246	PIC	1	63	27.983278961342627	1690.2698412698412	16.77777777777778	47263.411269841265	PIC	110000	85000	24000	93000	0	0	93000	17000	17000	0	17000	0	0	15000	0	53000	0	78000	52000	0	184000	192000	0	0	0	0	0	436000	47000	8000	101000	0	0	121000	23000	289000	0	0	0	2000	0	0	0	-4000	12000	-3000	0	0	-3000	0	0	0	-3000	0	6000
3	RECTICEL	BE0003656676	REC	1	63	7.115756168674071	35606.77777777778	107.92063492063492	256267.5325396825	REC	247000	203000	44000	242000	0	0	242000	5000	5000	0	5000	-3000	0	-2000	0	27000	0	128000	100000	0	256000	80000	0	0	0	0	0	635000	84000	189000	262000	111000	0	461000	182000	23000	0	0	0	7000	-6000	0	-3000	-10000	1000	-8000	0	0	-7000	0	0	0	6000	0	0
3	RENTABILIWEB	BE0946620946	BIL	1	63	10.404195959181546	20855.95238095238	74.31746031746032	215413.77746031753	BIL	17000	16000	1000	16000	0	0	16000	1000	1000	0	1000	0	0	1000	0	12000	0	25000	0	0	38000	0	0	0	0	0	0	99000	11000	0	26000	0	0	27000	38000	2000	0	0	0	0	0	0	0	3000	3000	0	0	0	0	0	0	0	0	0	3000
