EURN	0.09575184097827914	BR10
SIOE	0.17421460628314972	BR10
BIL	0.4319925040288058	BR10
MARC	0.5426356589147286	BR10
NEU	0.05426356589147287	BR10
ABLX	0	BR10
IBAB	0.3086536940357538	BR10
WESB	0.8217054263565892	BR10
THR	0.967360261117911	BR10
KIN	0.8217054263565892	BR100
MOUR	0.5478036175710594	BR100
LUXA	0.015625	BR100
WEHB	0.06328114198215204	BR100
RES	0.7916728427846137	BR100
CPINV	0.4453125	BR100
KIN	0.8217054263565892	BR50
LOUV	0.5193798449612403	BR50
TUB	0.6138817805629285	BR50
AED	0.8062436606348572	BR50
CARD	0.015133855062811044	BR50
IMMOU	0.357176182904404	BR50
BEFB	0.9787539477461957	BR50
DELB	0.5987936216317034	BR50
ASC	0.9586563307493541	BR50
CPINV	0.4453125	BR50
SEM	0.7498765356807993	LS10
