sym	avg	outcome	treat
ENINV	3.6493364686531633	0	1
ACKB	92.4199483065166	-0.0023443961478556707	0
AED	50.446007661811315	-0.0013531799729364006	0.2857142857142857
AGS	30.65280002430192	0.005482670684026525	1
AGFB	2.3934584839909254	-0.000023388945867803407	1
ASC	51.919814881233094	0	0
ATEB	39.16278129460973	0.07264995740731763	1
BANI	8.187741378935762	0.14143707622324697	1
BAR	56.68847127855854	0.00046620223322240556	0
BEFB	53.6997721058092	0.001523555771325514	0
MDXH	4.232111520986785	0	1
MELE	29.633002471961834	0	1
MOBB	14.241959720813211	0.000028936580660718532	1
MONT	31.300787175240004	0	1
NYR	1.997767231256757	0.0046745303626037574	1
OPTI	0.45052705675589266	-0.016666666666666663	1
PIC	27.983278961342627	-0.008564143912484445	1
REC	7.115756168674071	0.006703206216869942	1
BIL	10.404195959181546	0	1
RHJI	3.5734940921412157	0.44512832892541726	1
ROU	12.986392860263525	0.16133811742444526	1
RTL	79.63818753113634	0.0029580962950225068	0
SAP	45.27978792436797	-0.000029861442904921456	1
GLOG	1.8175940312381749	0	1
HAMO	15.040079714093665	-0.0006146467292733057	1
HOMI	79.80465160357903	0	0
IBAB	10.664683420891748	-0.007258236675442953	1
IMMO	40.655342866654806	0.1674760166771596	1
JEN	14.202109002784162	0	1
KBC	43.072697050159825	0.002091944237236021	1
KBCA	25.725638529684733	0	1
KEYW	0.7021834846429391	0	1
KIN	27.839775084477086	0	1
BEKB	28.32892916166952	-0.007308740998735214	1
BPOST	17.538565580407674	0.016353700110482983	1
BREB	28.506209428872157	-0.0009517285524179853	1
CARD	38.849740076677286	0	1
CFEB	78.59197320684258	0.04496579634016548	0
COFB	88.88864258897887	-0.004568313875013143	0
DIE	31.94500893377036	0.0028658143248416375	1
DECB	2.303323511998282	0	1
DELB	51.78477239962628	0.00021322917591608433	0.15873015873015872
ECONB	7.519332453652588	-0.0003553856405355011	1
ELI	37.98587224633886	0.13767923795264972	1
EVS	41.804318850683394	-0.007477301050382759	1
FLUX	29.283607619592782	0	1
UCB	58.68158085882934	0.004983470919618267	0
UMI	35.426979140643944	-0.003097567018883765	1
VAN	38.81352815945421	-0.07106598984771574	1
VGP	18.144821899088154	-0.00273224043715847	1
WDP	54.62255950620765	-0.001966473243068985	0
WEHB	93.41039354322155	0.030911901081916538	0
ZENT	0.9027670852370736	0	1
ZTS	21.593240514046553	-0.0068442143338416275	1
SIOE	9.458556592660118	0	1
SIP	61.974542628569615	0.08461736476299048	0
SOF	86.52066617841288	0.00892458352783343	0
TNET	42.80211525917981	0.0002936857562408223	1
TERB	58.86676662774811	-0.0034308706507876624	0
TESB	20.57472715201185	-0.00472158451103798	1
TEXF	37.98064334503668	0	1
THR	18.99069130699463	0	1
TIG	0.6869390855889335	0	1
TUB	51.33999613517106	-0.016149769571038197	0.15873015873015872
